21-Jun-2022 15:20:07:548, INFO,  Summary Report for Iteration 1588, Delta=8.765185514998785E-10
21-Jun-2022 15:20:07:548, INFO,    control     target    current       currentWtd         relaxWts            gamma
21-Jun-2022 15:20:07:556, INFO,          1      83025     83025.000008     8.302500e+04     1.000000e+00     1.000000e+00
21-Jun-2022 15:20:07:558, INFO,          2     211368    211367.575932     2.113680e+05     9.999980e-01     1.000000e+00
21-Jun-2022 15:20:07:558, INFO,          3      20719     20718.991917     2.071900e+04     9.999996e-01     1.000000e+00
21-Jun-2022 15:20:07:558, INFO,          4      32434     32433.997185     3.243400e+04     9.999999e-01     1.000000e+00
21-Jun-2022 15:20:07:558, INFO,          5      13029     13029.001488     1.302900e+04     1.000000e+00     1.000000e+00
21-Jun-2022 15:20:07:558, INFO,          6      16843     16843.009418     1.684300e+04     1.000001e+00     1.000000e+00
21-Jun-2022 15:20:07:558, INFO,          7      13046     13055.556673     1.304600e+04     1.000733e+00     1.000000e+00
21-Jun-2022 15:20:07:558, INFO,          8      17350     17357.577948     1.735000e+04     1.000437e+00     1.000000e+00
21-Jun-2022 15:20:07:558, INFO,          9      15347     15347.439028     1.534700e+04     1.000029e+00     1.000000e+00
21-Jun-2022 15:20:07:558, INFO,         10      11502     11499.790869     1.150200e+04     9.998079e-01     1.000000e+00
21-Jun-2022 15:20:07:558, INFO,         11      25780     25764.635490     2.578000e+04     9.994040e-01     1.000000e+00
21-Jun-2022 15:20:07:558, INFO,         12      22973     22967.365584     2.297300e+04     9.997547e-01     1.000000e+00
21-Jun-2022 15:20:07:566, INFO,         13      29565     29564.606683     2.956500e+04     9.999867e-01     1.000000e+00
21-Jun-2022 15:20:07:569, INFO,         14      25619     25622.049547     2.561900e+04     1.000119e+00     1.000000e+00
21-Jun-2022 15:20:07:569, INFO,         15       4868      4870.978194     4.868000e+03     1.000612e+00     1.000000e+00
21-Jun-2022 15:20:07:569, INFO,         16      22432     22434.782370     2.243200e+04     1.000124e+00     1.000000e+00
21-Jun-2022 15:20:07:569, INFO,         17      60593     60590.217638     6.059300e+04     9.999541e-01     1.000000e+00
21-Jun-2022 15:20:07:569, INFO,         18     105130    105129.225114     1.051300e+05     9.999926e-01     1.000000e+00
21-Jun-2022 15:20:07:569, INFO,         19     106240    106238.350818     1.062400e+05     9.999845e-01     1.000000e+00
21-Jun-2022 15:20:07:569, INFO,         20      46493     46494.596872     4.649300e+04     1.000034e+00     1.000000e+00
21-Jun-2022 15:20:07:569, INFO,         21      40927     40922.752676     4.092700e+04     9.998962e-01     1.000000e+00
21-Jun-2022 15:20:07:569, INFO,         22      86767     86767.066947     8.676700e+04     1.000001e+00     1.000000e+00
21-Jun-2022 15:20:07:569, INFO,         23      37181     37183.159437     3.718100e+04     1.000058e+00     1.000000e+00
21-Jun-2022 15:20:07:577, INFO,         24     211369    211367.575932     2.113690e+05     9.999933e-01     1.000000e+00
21-Jun-2022 15:20:07:577, INFO, 
21-Jun-2022 15:20:07:577, INFO, 
21-Jun-2022 15:20:07:577, INFO, 
21-Jun-2022 15:20:07:579, INFO, Task 2: final PUMA 190047[ L19US-D9295PD2_pool-3-thread-2_190047 ] completed.
21-Jun-2022 15:20:07:579, INFO, Task 3: final PUMA 180047[ L19US-D9295PD2_pool-3-thread-3_180047 ] completed.
21-Jun-2022 15:20:07:579, INFO, Time for final PUMA balancing for all pumas = 2424.28 millisecs.
21-Jun-2022 15:20:07:579, INFO, finished with PUMA balancing
21-Jun-2022 15:20:07:579, INFO, Allocating household records to TAZs and MAZs ...
21-Jun-2022 15:20:19:877, INFO, user.dir = C:\Users\USYS671257\Desktop\PopSyn2019
21-Jun-2022 15:20:19:877, INFO, java.library.path = runtime\lib
21-Jun-2022 15:20:19:879, INFO, java.class.path = runtime\config;runtime\popsyn3Unsigned.zip
21-Jun-2022 15:20:19:879, INFO, loading jnilinearsolver.dll 
21-Jun-2022 15:21:06:919, INFO, completed TAZ[ L19US-D9295PD2_node processing-1_0_10013 ]
21-Jun-2022 15:22:38:765, INFO, completed TAZ[ L19US-D9295PD2_node processing-1_1_190047 ]
21-Jun-2022 15:24:18:976, INFO, completed TAZ[ L19US-D9295PD2_node processing-1_2_180047 ]
21-Jun-2022 15:24:18:978, INFO, TAZ[ L19US-D9295PD2_node processing-1_0_10013 ], 1 of 3 completed.
21-Jun-2022 15:24:18:978, INFO, TAZ[ L19US-D9295PD2_node processing-1_1_190047 ], 2 of 3 completed.
21-Jun-2022 15:24:18:979, INFO, TAZ[ L19US-D9295PD2_node processing-1_2_180047 ], 3 of 3 completed.
