parcelid xcoord_p ycoord_p sqft_p taz_p lutype_p hh_p stugrd_p stuhgh_p stuuni_p empedu_p empfoo_p empgov_p empind_p empmed_p empofc_p empret_p empsvc_p empoth_p emptot_p parkdy_p parkhr_p ppricdyp pprichrp hh_1 stugrd_1 stuhgh_1 stuuni_1 empedu_1 empfoo_1 empgov_1 empind_1 empmed_1 empofc_1 empret_1 empsvc_1 empoth_1 emptot_1 parkdy_1 parkhr_1 ppricdy1 pprichr1 nodes1_1 nodes3_1 nodes4_1 tstops_1 nparks_1 aparks_1 hh_2 stugrd_2 stuhgh_2 stuuni_2 empedu_2 empfoo_2 empgov_2 empind_2 empmed_2 empofc_2 empret_2 empsvc_2 empoth_2 emptot_2 parkdy_2 parkhr_2 ppricdy2 pprichr2 nodes1_2 nodes3_2 nodes4_2 tstops_2 nparks_2 aparks_2 dist_lbus dist_ebus dist_crt dist_fry dist_lrt dist_park
3575 2185982 254399 164397 322 7 21.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 627.29 219.75 296.28 0.14 101.49 10.54 76.02 63.26 452.16 45.69 33.86 60.41 30.82 874.26 0.04 0.04 1986.58 123.75 1.17 34.29 42.67 19.58 10.74 26810 1907.59 837.86 1016.60 85.41 401.90 87.85 185.83 287.46 2263.00 278.74 147.45 218.57 148.70 4019.50 33.23 31.02 1677.34 155.59 11.91 135.20 124.88 65.82 135.83 33260 0.07 999.00 999.00 999.00 999.00 0.38
3576 2186548 254516 153133 322 2 18.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 627.29 219.75 296.28 0.14 101.49 10.54 76.02 63.26 452.16 45.69 33.86 60.41 30.82 874.26 0.04 0.04 1986.58 123.75 1.17 34.29 42.67 19.58 10.74 26810 1907.59 837.86 1016.60 85.41 401.90 87.85 185.83 287.46 2263.00 278.74 147.45 218.57 148.70 4019.50 33.23 31.02 1677.34 155.59 11.91 135.20 124.88 65.82 135.83 33260 0.07 999.00 999.00 999.00 999.00 0.38
3577 2186415 254208 149903 322 6 13.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 582.83 176.03 218.29 0.07 84.61 10.07 112.84 70.04 309.64 36.92 28.49 60.31 21.48 734.38 0.02 0.02 1918.66 126.77 1.28 34.43 37.87 15.49 13.39 27786 1827.57 763.39 933.14 60.00 372.66 86.63 203.68 295.56 1915.10 244.20 141.50 211.17 133.54 3604.04 23.71 22.11 1664.46 153.63 11.84 134.09 116.81 61.15 144.76 33806 0.17 999.00 999.00 999.00 999.00 0.34
3578 2185244 252742 79731 322 6 6.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 584.26 571.94 144.00 0.03 107.72 31.16 39.86 68.31 49.46 38.74 19.88 41.68 25.02 421.82 0.04 0.04 890.21 187.32 1.45 35.76 38.00 18.39 15.87 21889 1788.31 1037.52 603.73 37.65 262.45 135.48 146.17 464.15 846.72 238.68 145.83 194.43 197.80 2631.70 28.29 25.57 1208.98 182.73 13.32 132.00 115.08 62.27 137.41 31037 0.06 999.00 999.00 999.00 999.00 0.31
3579 2186478 243634 386796 419 1 15.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00 88.09 12.49 3.06 0.00 2.50 0.49 0.08 1.68 0.26 1.04 2.42 2.56 2.31 13.34 0.00 0.00 0.00 0.00 0.90 8.35 3.25 0.19 63.28 51963 838.12 205.87 106.29 0.00 51.01 24.68 4.80 91.67 16.69 45.22 70.74 45.01 57.30 407.11 0.00 0.00 0.00 0.00 13.24 64.95 23.78 7.48 292.65 43571 0.89 999.00 999.00 999.00 999.00 0.00
3580 2180160 256880 211067 300 5 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 68.00 0.00 0.00 0.00 68.00 0.00 0.00 0.00 0.00 146.09 30.26 6.70 159.59 27.36 20.98 191.91 156.86 217.57 189.15 38.37 39.98 173.56 1055.74 65.30 55.32 1677.79 142.31 4.69 12.52 13.23 14.56 11.81 27458 880.83 314.48 242.26 2610.49 434.91 360.76 510.23 1208.17 2977.61 1246.40 254.63 315.32 391.86 7699.89 1290.32 1191.67 1474.27 173.97 18.52 87.59 61.56 62.49 73.11 28800 0.06 999.00 999.00 999.00 999.00 0.11
3581 2179854 242208 184138 410 3 0.00 0.00 0.00 0.00 0.00 0.00 0.00 13.00 0.00 0.00 0.00 0.00 0.00 13.00 0.00 0.00 0.00 0.00 134.49 10.34 6.33 0.00 2.90 37.61 0.30 429.52 6.86 29.54 49.41 27.55 84.57 668.26 0.00 0.00 0.00 0.00 2.61 13.31 18.36 10.81 26.99 27263 814.36 228.40 120.50 0.00 60.61 99.72 6.19 1372.73 46.52 145.86 218.74 99.72 258.77 2308.86 0.00 0.00 0.00 0.00 11.83 73.78 64.44 37.21 153.00 34090 0.14 999.00 999.00 999.00 999.00 0.21
3582 2162226 271101 1148147 251 4 3.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 16.55 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.00 0.00 0.00 0.00 1.00 1.16 0.00 0.00 131.12 54946 26.07 0.52 0.00 0.00 0.11 0.02 0.00 0.00 0.00 0.58 0.00 0.21 0.00 0.92 0.00 0.00 0.00 0.00 1.31 2.91 0.00 0.00 331.23 56041 4.21 999.00 999.00 999.00 999.00 0.00
3583 2156081 251656 270767 379 8 15.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 129.51 0.00 0.04 0.00 1.99 17.61 4.10 2.55 15.40 6.25 5.61 19.03 2.25 74.79 0.00 0.00 0.00 0.00 1.93 15.12 1.20 0.00 103.68 46278 387.72 0.88 7.65 0.00 6.44 103.28 15.82 84.58 31.81 32.46 38.65 42.55 16.82 372.41 0.00 0.00 0.00 0.00 9.17 40.93 5.96 0.00 409.91 47547 3.42 999.00 999.00 999.00 999.00 0.01
3584 2155653 250508 433367 379 0 10.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.00 1.00 0.00 2.00 0.00 0.00 0.00 0.00 144.72 0.00 0.01 0.00 0.78 40.11 1.70 6.60 13.71 5.98 14.11 18.74 5.40 107.15 0.00 0.00 0.00 0.00 1.67 15.47 2.57 0.00 103.69 45066 398.22 0.61 3.65 0.00 4.23 134.95 12.07 184.87 31.29 28.68 55.54 40.95 20.40 512.98 0.00 0.00 0.00 0.00 7.78 41.82 8.04 0.00 402.37 46155 3.43 999.00 999.00 999.00 999.00 0.00
3585 2215486 256075 549925 763 8 19.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 103.23 0.26 0.04 0.02 1.01 10.38 3.24 12.83 24.10 211.30 17.33 10.02 4.30 294.51 0.00 0.00 0.00 0.00 3.88 15.67 0.78 1.96 85.17 31240 603.18 43.92 5.62 6.10 23.66 224.04 18.05 114.83 344.75 1019.33 292.11 121.16 49.20 2207.14 0.00 0.00 0.00 0.00 15.81 53.98 7.85 11.49 306.68 35095 0.39 999.00 999.00 999.00 999.00 0.00
3586 2218253 258438 1640753 763 4 51.00 0.00 0.00 0.00 0.00 5.00 0.00 3.00 24.00 12.00 21.00 2.00 0.00 67.00 0.00 0.00 0.00 0.00 178.21 0.48 3.62 0.94 7.28 269.67 6.35 37.09 112.84 178.22 287.53 94.80 11.55 1005.33 0.00 0.00 0.00 0.00 6.83 12.45 2.41 6.84 88.55 42767 662.41 41.48 21.87 41.84 51.82 1197.58 13.72 139.60 492.60 880.06 1103.90 271.61 93.48 4244.36 0.00 0.00 0.00 0.00 21.01 63.51 10.90 17.53 318.52 39206 0.22 999.00 999.00 999.00 999.00 0.01
3587 2217096 250808 608088 764 7 25.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 157.02 0.03 0.00 0.00 0.75 2.91 0.02 0.29 12.37 16.61 16.97 6.07 12.76 68.75 0.00 0.00 0.00 0.00 4.16 17.85 4.72 4.50 84.28 34245 745.09 14.87 0.02 0.00 5.90 99.79 1.82 16.45 215.03 151.73 139.67 58.15 42.71 731.24 0.00 0.00 0.00 0.00 17.51 57.19 9.44 11.28 312.87 38288 0.18 999.00 999.00 999.00 999.00 0.03
3588 2219028 254663 376415 487 3 20.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 228.72 5.24 0.00 0.00 9.25 45.14 0.12 3.96 205.14 43.27 37.85 23.09 12.60 380.42 0.00 0.00 0.00 0.00 3.31 17.52 4.88 0.66 108.19 33770 886.64 157.84 1.02 0.78 39.78 529.44 3.90 59.19 886.78 604.88 537.53 133.22 94.72 2889.44 0.00 0.00 0.00 0.00 16.76 64.45 12.12 6.34 327.85 34749 0.46 999.00 999.00 999.00 999.00 0.00
3589 2220227 253079 881892 764 2 9.00 0.00 0.00 0.00 0.00 25.00 0.00 0.00 165.00 6.00 14.00 4.00 0.00 214.00 0.00 0.00 0.00 0.00 75.63 8.68 0.00 0.00 8.35 77.21 0.01 2.94 241.00 40.94 61.29 15.10 4.75 451.57 0.00 0.00 0.00 0.00 1.31 9.51 1.54 1.06 65.17 34002 569.31 196.12 0.07 0.00 43.50 624.15 1.19 44.37 746.29 506.90 646.27 105.55 73.51 2791.75 0.00 0.00 0.00 0.00 12.91 52.94 9.74 7.29 279.01 37111 0.37 999.00 999.00 999.00 999.00 0.01
3590 2197312 252926 294356 428 2 12.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 294.87 4.42 1.27 0.00 1.08 12.69 0.09 2.87 8.15 3.65 11.92 7.79 1.64 49.88 0.00 0.00 0.00 0.00 3.60 28.88 5.25 1.59 109.57 43838 1342.13 129.65 80.20 2.14 36.91 79.83 6.37 20.43 120.57 54.69 108.06 78.29 11.25 516.40 0.00 0.00 0.00 0.00 16.81 114.08 22.48 15.19 432.72 39995 0.51 999.00 999.00 999.00 999.00 0.00
3591 2197050 252526 144957 428 1 8.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00 254.16 4.23 0.79 0.00 1.00 18.02 0.06 2.38 9.40 3.27 16.41 7.45 1.61 59.61 0.00 0.00 0.00 0.00 2.96 25.81 4.17 2.01 96.17 44497 1255.06 117.42 67.30 1.66 32.43 85.30 5.32 19.19 128.66 51.65 120.16 72.29 11.48 526.49 0.00 0.00 0.00 0.00 15.53 106.60 20.32 15.45 398.48 40076 0.44 999.00 999.00 999.00 999.00 0.00
3592 2196206 251417 145958 428 7 4.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 313.52 30.36 0.25 0.00 5.20 70.63 0.04 8.24 56.70 14.86 89.61 28.72 2.29 276.29 0.00 0.00 0.00 0.00 2.44 29.69 3.07 10.05 86.81 38677 1437.05 255.20 46.47 2.71 50.75 150.28 7.07 34.45 275.79 102.08 226.88 132.18 19.78 999.26 0.00 0.00 0.00 0.00 15.52 123.91 23.81 26.27 420.09 38248 0.09 999.00 999.00 999.00 999.00 0.03
3593 2197261 250885 373499 454 1 23.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 205.69 18.41 0.37 0.01 3.37 17.80 0.07 4.15 12.99 9.75 12.13 19.68 0.48 80.43 0.00 0.00 0.00 0.00 2.88 20.59 3.80 2.57 69.58 37135 1131.14 222.86 43.24 3.79 45.52 102.75 7.75 26.29 131.78 79.13 111.30 115.55 10.18 630.25 0.00 0.00 0.00 0.00 12.31 99.35 22.77 16.54 349.05 37164 0.44 999.00 999.00 999.00 999.00 0.00
3594 2197897 248929 259232 455 5 6.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 5.00 13.00 0.00 0.00 0.00 20.00 0.00 0.00 0.00 0.00 353.65 166.53 2.84 0.22 30.17 58.32 2.58 26.19 76.24 69.98 33.81 76.62 2.12 376.02 0.00 0.00 0.00 0.00 1.44 36.64 13.11 13.25 106.83 26943 1519.27 616.22 50.87 23.12 117.00 234.18 37.77 76.66 213.22 227.22 175.36 219.20 22.30 1322.91 0.00 0.00 0.00 0.00 13.08 130.02 41.11 27.05 441.09 32331 0.01 999.00 999.00 999.00 999.00 0.09
3595 2262887 331026 2704214 371 8 9.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 10.00 0.00 1.00 0.00 0.00 11.00 0.00 0.00 0.00 0.00 37.75 0.00 0.00 0.00 0.00 0.00 0.00 0.04 10.00 0.29 3.90 2.62 0.01 16.86 0.00 0.00 0.00 0.00 0.24 1.91 1.00 0.00 270.38 61663 68.87 0.00 0.00 0.00 0.00 0.00 0.00 1.92 10.00 2.03 6.35 3.80 0.90 25.00 0.00 0.00 0.00 0.00 1.38 5.15 1.14 0.00 710.35 61810 999.00 999.00 999.00 999.00 999.00 0.02
3596 2245389 324042 777322 347 6 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 10.91 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.18 0.00 0.18 0.00 0.00 0.00 0.00 0.39 8.50 0.00 0.00 101.88 58727 32.15 0.00 0.00 0.00 0.00 0.01 0.01 0.03 0.00 0.04 0.03 2.54 0.03 2.69 0.00 0.00 0.00 0.00 2.24 12.58 0.01 0.00 222.25 58877 999.00 999.00 999.00 999.00 999.00 0.01
3597 2250281 321300 17728981 349 0 78.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 10.00 0.00 10.00 0.00 0.00 0.00 0.00 78.88 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 10.00 0.00 10.00 0.00 0.00 0.00 0.00 1.75 4.39 0.00 0.00 111.69 59438 94.76 0.00 0.00 0.00 0.00 0.08 0.06 0.16 0.01 0.23 0.16 10.08 0.14 10.93 0.00 0.00 0.00 0.00 5.01 11.20 0.10 0.00 394.10 60089 999.00 999.00 999.00 999.00 999.00 0.00
3598 2252696 314298 257950 349 8 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 28.69 0.07 0.00 0.00 0.01 0.00 0.00 0.00 0.00 0.05 0.06 0.00 0.00 0.12 0.00 0.00 0.00 0.00 1.25 4.77 3.04 0.00 191.50 58315 95.30 13.51 0.00 0.00 2.34 0.13 0.01 0.04 0.04 0.97 1.89 0.26 0.08 5.76 0.00 0.00 0.00 0.00 4.97 12.76 3.75 0.00 523.49 59742 999.00 999.00 999.00 999.00 999.00 0.00
3599 2249227 311107 655978 355 0 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 10.89 10.55 0.00 0.00 1.83 0.01 0.00 0.01 0.01 0.08 0.58 0.05 0.04 2.62 0.00 0.00 0.00 0.00 1.02 4.87 2.48 0.00 100.05 52560 104.98 147.12 0.00 0.00 25.50 1.76 0.23 0.69 0.68 2.00 15.23 1.47 1.19 48.74 0.00 0.00 0.00 0.00 4.31 15.23 5.93 0.00 404.10 55750 999.00 999.00 999.00 999.00 999.00 0.00
3600 2254305 263815 234582 137 9 5.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 44.26 20.49 11.41 172.53 36.46 0.06 5.99 96.38 0.14 7.03 7.81 2.95 0.05 156.87 0.00 0.00 0.00 0.00 4.71 17.28 2.07 0.00 126.32 51690 269.36 129.13 104.77 1209.63 256.88 3.89 39.28 969.03 7.86 33.03 44.16 23.61 2.13 1379.89 0.00 0.00 0.00 0.00 14.34 39.30 8.22 0.00 479.80 53120 6.98 999.00 999.00 999.00 999.00 0.01
3601 2253089 267849 17013554 852 5 267.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 5.00 0.00 0.00 2.00 7.00 0.00 0.00 0.00 0.00 285.66 0.28 0.15 2.36 0.50 0.00 0.19 1.31 0.00 5.10 0.11 0.04 2.00 9.25 0.00 0.00 0.00 0.00 1.40 4.61 0.54 0.00 90.91 57381 342.16 18.41 14.15 169.56 35.97 0.50 8.13 129.49 0.86 9.93 6.41 3.00 2.36 196.64 0.00 0.00 0.00 0.00 7.65 18.77 3.85 0.00 290.61 55018 6.65 999.00 999.00 999.00 999.00 0.01
3602 2202927 333067 38026285 578 0 107.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 12.00 0.00 12.00 0.00 0.00 0.00 0.00 107.71 0.00 0.00 0.00 0.05 0.00 0.00 0.00 0.00 0.00 0.00 12.00 0.00 12.05 0.00 0.00 0.00 0.00 1.68 2.43 0.15 0.00 63.37 50839 118.62 0.00 0.00 0.00 0.74 0.00 0.00 0.18 0.00 0.00 0.03 12.06 0.00 13.00 0.00 0.00 0.00 0.00 4.12 6.38 0.70 0.00 221.41 55198 10.70 999.00 999.00 999.00 999.00 0.03
3603 2233232 361069 290846 623 6 9.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 21.51 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.00 0.01 0.00 0.00 0.00 0.00 2.03 6.77 0.00 0.00 141.80 62476 43.85 0.00 0.00 0.00 0.00 0.12 0.00 0.00 0.00 0.03 0.03 0.49 0.00 0.67 0.00 0.00 0.00 0.00 4.58 9.33 0.16 0.00 279.16 62208 999.00 999.00 999.00 999.00 999.00 0.00
3604 2188509 301543 775754 525 0 28.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 196.76 0.00 0.00 0.00 0.00 0.00 0.03 6.67 0.00 3.32 1.34 4.33 2.14 17.83 0.00 0.00 0.00 0.00 2.09 7.36 0.05 0.00 90.56 55021 382.91 0.00 0.00 0.00 0.08 0.31 2.29 12.85 0.51 24.25 7.20 12.28 11.49 71.26 0.00 0.00 0.00 0.00 6.24 20.94 0.95 0.00 269.43 54596 3.06 999.00 999.00 999.00 999.00 0.00
3605 2220693 318457 584369 570 9 25.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 143.40 0.20 0.25 0.00 0.19 13.96 0.02 10.07 3.40 4.21 14.35 8.89 2.96 58.07 0.00 0.00 0.00 0.00 3.10 13.80 1.08 0.00 93.99 38261 433.50 20.63 27.08 0.00 7.87 64.23 2.16 57.73 13.81 18.94 76.22 35.25 17.02 293.24 0.00 0.00 0.00 0.00 12.01 38.46 4.86 0.00 410.29 44282 9.48 999.00 999.00 999.00 999.00 0.01
3606 2186007 290797 5825457 505 1 163.00 274.00 0.00 0.00 52.00 0.00 0.00 0.00 0.00 3.00 0.00 6.00 0.00 61.00 0.00 0.00 0.00 0.00 201.17 274.10 0.02 0.00 52.02 0.10 0.00 0.12 0.05 3.26 0.10 6.66 1.22 63.54 0.00 0.00 0.00 0.00 4.13 7.17 0.09 0.00 38.79 45556 446.84 288.53 5.13 0.00 55.35 4.97 0.62 4.12 6.93 19.97 12.67 25.53 20.38 150.54 0.00 0.00 0.00 0.00 11.52 25.82 2.84 0.27 157.03 45821 1.89 999.00 999.00 999.00 999.00 0.01
3607 2219425 345168 256535 586 3 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 36.01 1.05 0.01 0.00 0.26 2.44 0.00 0.44 0.08 2.54 4.10 0.26 0.02 10.13 0.00 0.00 0.00 0.00 0.73 8.61 2.69 0.00 124.50 46994 168.05 46.75 4.88 0.00 10.06 8.64 0.00 9.75 2.94 14.40 14.51 5.25 1.29 66.84 0.00 0.00 0.00 0.00 3.64 25.72 5.48 0.00 398.36 49774 999.00 999.00 999.00 999.00 999.00 0.01
3608 2228842 367132 1261606 623 9 0.00 0.00 0.00 0.00 0.00 5.00 0.00 0.00 0.00 0.00 9.00 0.00 0.00 14.00 0.00 0.00 0.00 0.00 22.70 0.17 0.00 0.00 0.03 5.00 0.00 38.21 0.00 15.50 57.82 0.02 3.67 120.24 0.00 0.00 0.00 0.00 0.26 6.44 2.69 0.00 181.47 54944 71.16 17.35 0.00 0.00 2.65 5.02 0.11 78.49 0.01 32.36 103.47 0.72 16.98 239.81 0.00 0.00 0.00 0.00 1.94 18.13 4.30 0.00 643.13 57440 999.00 999.00 999.00 999.00 999.00 0.00
3609 2179221 268304 52292 311 4 7.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 474.35 21.79 310.41 0.23 68.96 29.89 1.81 11.38 30.89 18.96 15.77 11.68 4.50 193.84 0.70 0.63 673.72 261.74 4.12 34.90 9.53 5.87 86.88 29557 1471.76 176.70 784.38 111.07 228.29 211.26 55.10 103.59 168.58 405.56 110.41 131.50 50.67 1464.97 138.75 128.79 757.61 258.32 15.02 111.81 30.79 21.40 349.88 35684 0.27 999.00 999.00 999.00 999.00 0.01
3610 2189595 269406 148209 282 4 0.00 0.00 0.00 0.00 0.00 0.00 0.00 7.00 0.00 5.00 0.00 0.00 20.00 32.00 0.00 0.00 0.00 0.00 47.23 0.02 0.00 0.00 10.98 19.41 4.63 346.45 17.73 63.66 108.95 30.64 107.46 709.91 0.00 0.00 2264.40 117.36 0.78 19.81 1.59 0.48 48.94 28140 228.35 7.24 1.28 0.00 13.39 67.46 104.65 997.28 71.79 211.37 272.13 72.46 272.48 2083.02 3.96 3.87 2252.06 121.94 3.99 50.04 11.86 6.58 193.98 32408 0.52 999.00 999.00 999.00 999.00 0.06
3611 2178029 260134 310157 279 2 0.00 0.00 0.00 11651.00 1425.00 87.00 0.00 0.00 8.00 30.00 0.00 15.00 0.00 1565.00 0.00 0.00 0.00 0.00 299.18 95.17 58.96 11651.00 1463.54 257.17 328.76 281.38 381.76 983.86 62.92 189.04 54.81 4003.25 386.33 353.48 771.60 242.17 3.97 24.20 25.26 23.29 15.44 18338 1320.65 385.09 511.16 11651.00 1637.68 1305.40 1230.88 1963.90 2767.32 5060.40 401.52 757.46 247.54 15372.12 3067.08 2843.32 899.35 234.56 16.23 99.51 94.69 90.81 79.16 24460 0.08 999.00 999.00 999.00 999.00 0.13
3612 2179686 258906 95716 293 9 8.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 417.94 268.81 160.65 4090.45 583.10 82.30 203.79 141.13 512.01 424.10 77.06 127.46 71.19 2222.13 157.11 141.59 1334.85 226.22 6.30 28.03 25.42 19.78 10.64 21583 1127.19 450.38 716.63 9765.45 1432.57 658.27 880.29 1168.15 4071.41 2486.91 303.72 483.16 296.60 11781.08 1989.85 1854.42 1295.33 203.02 19.90 96.59 80.74 73.11 81.40 25498 0.10 999.00 999.00 999.00 999.00 0.35
3613 2174236 255647 108221 268 4 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 25.00 7.00 0.00 0.00 34.00 0.00 0.00 0.00 0.00 344.88 95.77 96.52 12.56 34.04 211.35 35.51 1126.38 53.00 297.57 149.57 172.15 83.22 2162.80 185.53 173.71 750.01 240.76 3.92 27.15 25.92 22.85 3.39 18952 1156.81 443.12 629.70 790.00 277.09 1039.93 439.92 3158.10 396.15 2080.56 567.16 532.42 224.72 8716.05 1738.30 1627.49 755.56 241.29 12.72 100.52 68.81 76.85 57.16 25150 0.02 999.00 999.00 999.00 999.00 0.49
3614 2174835 255379 110843 268 4 2.00 0.00 0.00 0.00 0.00 0.00 0.00 4.00 0.00 5.00 0.00 0.00 0.00 9.00 0.00 0.00 0.00 0.00 306.44 278.71 241.64 16.96 81.67 179.75 35.72 739.02 57.84 213.43 180.83 132.21 70.22 1690.69 189.00 159.51 625.61 217.82 2.34 35.10 27.82 23.61 5.03 22584 1123.98 631.82 864.81 913.38 347.62 895.88 392.59 2869.32 374.96 1651.92 554.99 508.81 234.53 7830.62 1498.50 1375.07 739.62 232.73 13.25 111.20 68.10 76.26 65.43 25842 0.12 999.00 999.00 999.00 999.00 0.44
3615 2186774 256323 63765 724 2 4.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 529.31 135.17 127.38 0.58 57.38 22.58 16.26 49.77 1921.52 87.63 77.77 46.77 74.57 2354.26 0.25 0.24 2218.55 111.44 2.31 29.37 41.99 29.20 10.37 25386 1901.49 694.77 835.25 173.59 362.03 87.13 143.21 209.60 4197.76 335.46 164.01 217.96 149.65 5866.80 65.25 62.48 1990.12 136.52 13.05 129.13 122.92 74.26 135.22 32852 0.05 999.00 999.00 999.00 999.00 0.33
3616 2175580 255008 82760 267 8 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 6.00 0.00 0.00 6.00 0.00 0.00 0.00 0.00 312.13 386.39 399.48 24.73 120.60 175.05 51.99 772.71 62.97 212.77 199.25 128.47 64.79 1788.61 236.67 195.38 628.52 215.75 1.97 40.68 25.76 24.80 7.28 24208 1165.70 687.03 1032.91 1094.85 402.34 909.54 449.51 3036.40 415.60 1772.13 558.32 531.28 248.62 8323.76 1678.38 1537.49 742.55 230.98 13.80 119.32 69.37 80.62 74.89 26507 0.01 999.00 999.00 999.00 999.00 0.34
3617 2176132 245286 55943 906 2 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 140.80 3.19 0.13 0.00 0.77 0.82 0.27 87.36 3.31 7.35 6.03 20.93 1.51 128.35 0.00 0.00 348.75 199.99 2.48 15.76 7.05 2.63 87.14 43520 580.27 123.74 34.90 0.00 29.82 24.85 5.25 734.40 16.91 73.14 81.32 73.44 44.21 1083.33 0.25 0.16 389.03 200.00 7.96 56.12 32.52 15.53 257.73 40428 0.30 999.00 999.00 999.00 999.00 0.01
3618 2175324 244029 78399 907 5 4.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 193.43 3.10 0.11 0.00 0.78 0.61 0.28 228.44 1.72 10.06 6.11 26.66 5.31 279.96 0.00 0.00 348.69 199.99 1.98 21.86 10.57 4.91 88.31 41644 659.03 115.22 32.16 0.00 29.08 21.47 5.23 788.84 17.39 70.58 75.53 80.87 41.44 1130.43 0.25 0.16 389.01 200.00 9.10 66.28 34.66 18.69 307.75 40280 0.20 999.00 999.00 999.00 999.00 0.02
