parcelid xcoord_p ycoord_p sqft_p taz_p lutype_p hh_p stugrd_p stuhgh_p stuuni_p empedu_p empfoo_p empgov_p empind_p empmed_p empofc_p empret_p empsvc_p empoth_p emptot_p parkdy_p parkhr_p ppricdyp pprichrp hh_1 stugrd_1 stuhgh_1 stuuni_1 empedu_1 empfoo_1 empgov_1 empind_1 empmed_1 empofc_1 empret_1 empsvc_1 empoth_1 emptot_1 parkdy_1 parkhr_1 ppricdy1 pprichr1 nodes1_1 nodes3_1 nodes4_1 tstops_1 nparks_1 aparks_1 hh_2 stugrd_2 stuhgh_2 stuuni_2 empedu_2 empfoo_2 empgov_2 empind_2 empmed_2 empofc_2 empret_2 empsvc_2 empoth_2 emptot_2 parkdy_2 parkhr_2 ppricdy2 pprichr2 nodes1_2 nodes3_2 nodes4_2 tstops_2 nparks_2 aparks_2 dist_lbus dist_ebus dist_crt dist_fry dist_lrt dist_park
28 2243132 270395 25947454 825 7 330.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 5.00 0.00 5.00 0.00 0.00 0.00 0.00 333.33 0.00 0.00 0.00 0.00 0.01 0.01 32.37 1.57 0.81 0.41 5.06 0.00 40.25 0.00 0.00 0.00 0.00 0.93 4.04 0.02 0.00 78.52 60508 376.40 0.00 0.00 0.00 0.01 2.33 1.55 116.39 27.10 12.62 4.61 6.94 0.32 171.87 0.00 0.00 0.00 0.00 3.31 12.28 0.56 0.00 236.74 58886 3.16 999.00 999.00 999.00 999.00 0.02
29 2253986 266825 322519 852 6 3.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 296.88 0.14 0.08 1.15 0.24 0.00 0.09 0.64 0.00 5.05 0.05 0.03 2.00 8.12 0.00 0.00 0.00 0.00 1.78 6.50 0.96 0.00 109.40 55632 352.96 12.99 9.96 119.60 25.37 0.37 5.77 91.25 0.60 8.60 4.56 2.26 2.40 141.18 0.00 0.00 0.00 0.00 9.05 21.08 4.33 0.00 317.67 54759 6.80 999.00 999.00 999.00 999.00 0.03
30 2253978 265174 3990183 137 6 3.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 86.38 1.42 0.78 11.88 2.51 0.00 0.42 6.57 0.01 0.52 0.55 0.21 0.01 10.79 0.00 0.00 0.00 0.00 4.40 9.17 0.20 0.00 95.79 56225 271.47 39.80 30.91 367.87 78.07 1.03 12.02 283.43 2.08 10.60 13.76 7.10 0.77 408.86 0.00 0.00 0.00 0.00 10.98 24.28 3.32 0.00 282.45 54121 7.03 999.00 999.00 999.00 999.00 0.01
31 2257928 265067 267849 130 4 6.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 54.64 0.02 0.01 0.19 0.04 0.00 0.01 0.55 0.00 0.20 0.01 0.45 0.40 1.65 0.00 0.00 0.00 0.00 3.02 9.29 3.20 0.00 93.75 55698 283.92 5.28 4.03 48.54 10.30 0.16 1.59 40.00 0.11 3.49 1.83 1.95 3.15 62.59 0.00 0.00 0.00 0.00 11.28 29.82 7.13 0.00 337.86 54840 7.70 999.00 999.00 999.00 999.00 0.00
32 2174021 258612 88678 260 0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 706.89 58.76 1.72 147.81 60.52 909.28 398.74 1702.78 403.13 1804.70 243.78 239.18 66.10 5828.21 2645.27 2559.49 769.41 249.69 1.86 29.01 26.24 38.59 5.27 16937 2133.35 273.63 143.01 2521.76 451.95 2322.37 1331.93 4319.80 1137.37 6240.37 696.64 963.04 258.29 17721.77 5067.81 4793.38 745.33 249.44 11.52 105.62 89.62 111.09 50.18 24974 0.01 999.00 999.00 999.00 999.00 0.11
33 2173997 257632 130050 257 1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 10.00 44.00 0.00 2.00 0.00 56.00 0.00 0.00 0.00 0.00 421.95 83.43 3.88 73.53 37.31 599.53 185.83 1519.35 199.02 923.15 196.75 167.67 53.87 3882.49 1474.72 1438.38 800.42 255.77 1.21 19.82 20.78 30.04 2.15 16252 1687.87 365.30 180.18 1831.02 365.63 1836.91 941.88 4193.13 846.20 4208.04 617.04 756.05 236.00 14000.89 3946.10 3742.06 755.29 247.58 10.75 96.60 77.20 98.74 39.75 24423 0.06 999.00 999.00 999.00 999.00 0.35
34 2174987 258206 200685 259 6 0.00 0.00 0.00 0.00 0.00 278.00 0.00 0.00 0.00 1.00 0.00 21.00 0.00 300.00 0.00 0.00 0.00 0.00 458.81 142.52 8.11 228.72 81.68 997.15 418.95 2963.07 253.29 1480.77 289.20 258.80 66.38 6809.30 2039.61 1964.48 798.05 245.30 1.13 28.49 27.38 49.25 1.86 18590 1813.45 469.06 264.00 3065.40 564.06 2130.93 1222.31 5048.17 1018.42 5258.41 729.82 911.96 284.50 17168.57 4734.94 4455.83 759.80 242.01 12.07 114.03 94.10 122.70 46.24 25023 0.01 999.00 999.00 999.00 999.00 0.45
35 2175097 257619 145619 264 0 0.00 0.00 0.00 0.00 0.00 60.00 0.00 0.00 68.00 52.00 0.00 11.00 0.00 191.00 0.00 0.00 0.00 0.00 451.05 247.81 16.19 197.85 84.78 871.83 326.86 2254.46 200.68 958.67 239.92 237.79 62.96 5237.94 1365.11 1297.01 766.29 237.11 1.40 28.13 26.06 45.83 1.57 19922 1654.97 564.47 331.31 2874.31 550.50 1848.03 1044.85 4691.43 852.99 4167.85 683.72 812.37 277.73 14929.47 4006.22 3753.87 761.15 240.43 12.51 114.86 88.90 115.02 45.31 25215 0.09 999.00 999.00 999.00 999.00 0.59
36 2206434 276564 247630 447 0 7.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 1.00 0.00 0.00 0.00 0.00 106.54 0.11 0.00 0.00 0.06 7.09 0.06 5.00 1.07 22.02 5.19 4.27 3.50 48.27 0.00 0.00 0.00 0.00 1.86 12.18 1.13 0.28 90.94 50984 507.86 15.86 1.03 7.85 3.76 79.21 2.64 56.59 33.60 157.63 65.01 41.64 16.93 457.02 0.00 0.00 0.00 0.00 9.66 49.15 5.45 2.90 338.47 46847 0.56 999.00 999.00 999.00 999.00 0.01
37 2209885 276681 3978166 443 4 226.00 0.00 0.00 0.00 0.00 7.00 0.00 0.00 17.00 6.00 1.00 13.00 15.00 59.00 0.00 0.00 0.00 0.00 287.94 1.20 0.13 0.00 0.39 50.86 0.77 1.96 65.36 61.60 28.27 33.13 15.57 257.91 0.00 0.00 0.00 0.00 2.91 9.93 0.94 1.40 51.98 37119 801.10 46.85 4.65 0.00 12.15 197.86 8.94 39.79 153.60 164.87 119.30 75.03 29.26 800.80 0.00 0.00 0.00 0.00 13.69 51.29 5.72 5.72 264.27 37792 0.39 999.00 999.00 999.00 999.00 0.01
