sourceTypeID,roadTypeID,hourDayID,avgSpeedBinID,avgSpeedFraction                                                      
11,3,132,10,0.37138337
11,3,132,11,0.19498305
11,3,132,12,0.09275281
11,3,132,13,0.03293139
11,3,132,14,0
11,3,132,15,0
11,3,132,16,0
11,3,142,1,0
11,3,142,2,0
11,3,142,3,0
11,3,142,4,0.00168986
11,3,142,5,0.00275774
11,3,142,6,0.01896833
11,3,142,7,0.04519212
11,3,142,8,0.09761026
11,3,142,9,0.14967237
11,3,142,10,0.36892903
11,3,142,11,0.19206871
11,3,142,12,0.09163724
11,3,142,13,0.03147433
11,3,142,14,0
11,3,142,15,0
11,3,142,16,0
11,3,152,1,0
11,3,152,2,0
11,3,152,3,0
11,3,152,4,0.00185247
11,3,152,5,0.00784638
11,3,152,6,0.01752765
11,3,152,7,0.04703928
11,3,152,8,0.09924451
11,3,152,9,0.1635755
11,3,152,10,0.36012
11,3,152,11,0.18874739
11,3,152,12,0.08567166
11,3,152,13,0.02837521
11,3,152,14,0
11,3,152,15,0
11,3,152,16,0
11,3,162,1,0
11,3,162,2,0
11,3,162,3,0
11,3,162,4,0.00724088
11,3,162,5,0.00929022
11,3,162,6,0.01718405
11,3,162,7,0.05182814
11,3,162,8,0.11030166
11,3,162,9,0.18153861
11,3,162,10,0.33807066
11,3,162,11,0.18390752
11,3,162,12,0.0774731
11,3,162,13,0.02316517
11,3,162,14,0
11,3,162,15,0
11,3,162,16,0
11,3,172,1,0.04107747
11,3,172,2,0.04305159
11,3,172,3,0.03811872
11,3,172,4,0.06304625
11,3,172,5,0.05023897
11,3,172,6,0.04015332
11,3,172,7,0.05838941
11,3,172,8,0.07822448
11,3,172,9,0.13049804
11,3,172,10,0.18776844
11,3,172,11,0.17321643
11,3,172,12,0.07307981
11,3,172,13,0.02255692
11,3,172,14,0.00058016
11,3,172,15,0
11,3,172,16,0
11,3,182,1,0.03220931
11,3,182,2,0.03480425
11,3,182,3,0.04615712
11,3,182,4,0.03370164
11,3,182,5,0.07364289
11,3,182,6,0.03458672
11,3,182,7,0.06181765
11,3,182,8,0.0773235
11,3,182,9,0.13611487
11,3,182,10,0.18838789
11,3,182,11,0.18044272
11,3,182,12,0.07567526
11,3,182,13,0.02449393
11,3,182,14,0.00064231
11,3,182,15,0
11,3,182,16,0
11,3,192,1,0
11,3,192,2,0
11,3,192,3,0.00835489
11,3,192,4,0.03688395
11,3,192,5,0.03900217
11,3,192,6,0.04709518
11,3,192,7,0.03704908
11,3,192,8,0.09819042
11,3,192,9,0.17243828
11,3,192,10,0.19669746
11,3,192,11,0.22918977
11,3,192,12,0.08256182
11,3,192,13,0.05158902
11,3,192,14,0.00094806
11,3,192,15,0
11,3,192,16,0
11,3,202,1,0
11,3,202,2,0
11,3,202,3,0
11,3,202,4,0.00099407
11,3,202,5,0.00304459
11,3,202,6,0.00712865
11,3,202,7,0.04090523
11,3,202,8,0.10646868
11,3,202,9,0.11415993
11,3,202,10,0.37407687
11,3,202,11,0.20600896
11,3,202,12,0.10461457
11,3,202,13,0.04259844
11,3,202,14,0
11,3,202,15,0
11,3,202,16,0
11,3,212,1,0
11,3,212,2,0
11,3,212,3,0
11,3,212,4,0.00072622
11,3,212,5,0.00321424
11,3,212,6,0.00530927
11,3,212,7,0.04034341
11,3,212,8,0.10614829
11,3,212,9,0.10935543
11,3,212,10,0.37339872
11,3,212,11,0.20528415
11,3,212,12,0.10910864
11,3,212,13,0.04711162
11,3,212,14,0
11,3,212,15,0
11,3,212,16,0
11,3,222,1,0
11,3,222,2,0
11,3,222,3,0
11,3,222,4,0.00045624
11,3,222,5,0.0034029
11,3,222,6,0.00466261
11,3,222,7,0.04011633
11,3,222,8,0.10558493
11,3,222,9,0.10634374
11,3,222,10,0.37324509
11,3,222,11,0.20528381
11,3,222,12,0.11151077
11,3,222,13,0.04939354
11,3,222,14,0
11,3,222,15,0
11,3,222,16,0
11,3,232,1,0
11,3,232,2,0
11,3,232,3,0
11,3,232,4,0.00027391
11,3,232,5,0.00354741
11,3,232,6,0.00371509
11,3,232,7,0.03951276
11,3,232,8,0.10628771
11,3,232,9,0.10302489
11,3,232,10,0.37156907
11,3,232,11,0.20594268
11,3,232,12,0.11399198
11,3,232,13,0.05213455
11,3,232,14,0
11,3,232,15,0
11,3,232,16,0
11,3,242,1,0
11,3,242,2,0
11,3,242,3,0
11,3,242,4,0.00009131
11,3,242,5,0.00365575
11,3,242,6,0.00331688
11,3,242,7,0.03867578
11,3,242,8,0.10728247
11,3,242,9,0.10029349
11,3,242,10,0.3715961
11,3,242,11,0.20476836
11,3,242,12,0.11718579
11,3,242,13,0.05313405
11,3,242,14,0
11,3,242,15,0
11,3,242,16,0
11,4,12,1,1
11,4,12,2,0
11,4,12,3,0
11,4,12,4,0
11,4,12,5,0
11,4,12,6,0
11,4,12,7,0
11,4,12,8,0
11,4,12,9,0
11,4,12,10,0
11,4,12,11,0
11,4,12,12,0
11,4,12,13,0
11,4,12,14,0
11,4,12,15,0
11,4,12,16,0
11,4,22,1,1
11,4,22,2,0
11,4,22,3,0
11,4,22,4,0
11,4,22,5,0
11,4,22,6,0
11,4,22,7,0
11,4,22,8,0
11,4,22,9,0
11,4,22,10,0
11,4,22,11,0
11,4,22,12,0
11,4,22,13,0
11,4,22,14,0
11,4,22,15,0
11,4,22,16,0
11,4,32,1,1
11,4,32,2,0
11,4,32,3,0
11,4,32,4,0
11,4,32,5,0
11,4,32,6,0
11,4,32,7,0
11,4,32,8,0
11,4,32,9,0
11,4,32,10,0
11,4,32,11,0
11,4,32,12,0
11,4,32,13,0
11,4,32,14,0
11,4,32,15,0
11,4,32,16,0
11,4,42,1,1
11,4,42,2,0
11,4,42,3,0
11,4,42,4,0
11,4,42,5,0
11,4,42,6,0
11,4,42,7,0
11,4,42,8,0
11,4,42,9,0
11,4,42,10,0
11,4,42,11,0
11,4,42,12,0
11,4,42,13,0
11,4,42,14,0
11,4,42,15,0
11,4,42,16,0
11,4,52,1,1
11,4,52,2,0
11,4,52,3,0
11,4,52,4,0
11,4,52,5,0
11,4,52,6,0
11,4,52,7,0
11,4,52,8,0
11,4,52,9,0
11,4,52,10,0
11,4,52,11,0
11,4,52,12,0
11,4,52,13,0
11,4,52,14,0
11,4,52,15,0
11,4,52,16,0
11,4,62,1,1
11,4,62,2,0
11,4,62,3,0
11,4,62,4,0
11,4,62,5,0
11,4,62,6,0
11,4,62,7,0
11,4,62,8,0
11,4,62,9,0
11,4,62,10,0
11,4,62,11,0
11,4,62,12,0
11,4,62,13,0
11,4,62,14,0
11,4,62,15,0
11,4,62,16,0
11,4,72,1,1
11,4,72,2,0
11,4,72,3,0
11,4,72,4,0
11,4,72,5,0
11,4,72,6,0
11,4,72,7,0
11,4,72,8,0
11,4,72,9,0
11,4,72,10,0
11,4,72,11,0
11,4,72,12,0
11,4,72,13,0
11,4,72,14,0
11,4,72,15,0
11,4,72,16,0
11,4,82,1,1
11,4,82,2,0
11,4,82,3,0
11,4,82,4,0
11,4,82,5,0
11,4,82,6,0
11,4,82,7,0
11,4,82,8,0
11,4,82,9,0
11,4,82,10,0
11,4,82,11,0
11,4,82,12,0
11,4,82,13,0
11,4,82,14,0
11,4,82,15,0
11,4,82,16,0
11,4,92,1,1
11,4,92,2,0
11,4,92,3,0
11,4,92,4,0
11,4,92,5,0
11,4,92,6,0
11,4,92,7,0
11,4,92,8,0
11,4,92,9,0
11,4,92,10,0
11,4,92,11,0
11,4,92,12,0
11,4,92,13,0
11,4,92,14,0
11,4,92,15,0
11,4,92,16,0
11,4,102,1,1
11,4,102,2,0
11,4,102,3,0
11,4,102,4,0
11,4,102,5,0
11,4,102,6,0
11,4,102,7,0
11,4,102,8,0
11,4,102,9,0
11,4,102,10,0
11,4,102,11,0
11,4,102,12,0
11,4,102,13,0
11,4,102,14,0
11,4,102,15,0
11,4,102,16,0
11,4,112,1,1
11,4,112,2,0
11,4,112,3,0
11,4,112,4,0
11,4,112,5,0
11,4,112,6,0
11,4,112,7,0
11,4,112,8,0
11,4,112,9,0
11,4,112,10,0
11,4,112,11,0
11,4,112,12,0
11,4,112,13,0
11,4,112,14,0
11,4,112,15,0
11,4,112,16,0
11,4,122,1,1
11,4,122,2,0
11,4,122,3,0
11,4,122,4,0
11,4,122,5,0
11,4,122,6,0
11,4,122,7,0
11,4,122,8,0
11,4,122,9,0
11,4,122,10,0
11,4,122,11,0
11,4,122,12,0
11,4,122,13,0
11,4,122,14,0
11,4,122,15,0
11,4,122,16,0
11,4,132,1,1
11,4,132,2,0
11,4,132,3,0
11,4,132,4,0
11,4,132,5,0
11,4,132,6,0
11,4,132,7,0
11,4,132,8,0
11,4,132,9,0
11,4,132,10,0
11,4,132,11,0
11,4,132,12,0
11,4,132,13,0
11,4,132,14,0
11,4,132,15,0
11,4,132,16,0
11,4,142,1,1
11,4,142,2,0
