ID mode xcoord_p ycoord_p
952 1 2202774 247465
953 1 2202400 247324
954 1 2201855 247279
955 1 2201250 247540
956 1 2200668 247801
957 1 2200306 247961
959 1 2199225 248503
960 1 2198819 248706
961 1 2198463 248886
962 1 2197957 249138
963 1 2197020 249670
964 1 2196533 250036
966 1 2195967 250902
967 1 2195662 251425
968 1 2195344 251751
969 1 2194832 251982
970 1 2194513 252144
971 1 2194019 252400
972 1 2193495 252887
975 1 2191635 253571
976 1 2189575 254859
977 1 2188803 255154
978 1 2188451 255315
979 1 2188083 255470
980 1 2187513 255721
981 1 2186914 255986
982 1 2186554 256146
983 1 2186111 256343
984 1 2185715 256516
985 1 2185259 256716
986 1 2184842 256901
987 1 2184434 257083
988 1 2184012 257267
989 1 2183658 257427
990 1 2183264 257602
991 1 2182654 257867
992 1 2181187 258507
993 1 2180636 258749
994 1 2180264 258919
995 1 2179331 259342
996 1 2176407 260656
997 1 2175858 261042
998 1 2175537 261029
999 1 2175247 261016
1003 1 2221349 254817
1004 1 2221083 254213
1015 1 2221465 247716
1016 1 2220765 248171
1017 1 2220191 248483
1018 1 2219716 248741
1019 1 2219009 249232
1020 1 2218645 249533
1021 1 2218097 249882
1022 1 2217514 250175
1023 1 2216467 250340
1025 1 2176559 260091
1026 1 2176749 260399
1027 1 2177492 262031
1028 1 2184141 259593
1029 1 2184841 261194
1033 1 2195369 255122
1034 1 2195464 255355
1035 1 2195595 255679
1036 1 2195739 256881
1038 1 2196044 257816
1039 1 2196281 258591
1040 1 2196408 258975
1041 1 2196587 259368
1042 1 2196701 260276
1043 1 2195053 261622
1044 1 2195246 262157
1047 1 2195064 263708
1048 1 2195486 263549
1049 1 2195748 263348
1051 1 2195590 267399
1052 1 2194970 267987
1054 1 2197589 268836
1055 1 2198625 268435
1057 1 2199450 268033
1058 1 2199575 267209
1059 1 2199471 266438
1060 1 2199095 265583
1061 1 2198590 264458
1064 1 2197584 262499
1065 1 2197211 261710
1070 1 2196677 259796
1071 1 2196603 259406
1072 1 2196435 259042
1073 1 2196290 258617
1074 1 2196057 257862
1075 1 2196009 257531
1076 1 2195793 256952
1077 1 2195482 256413
1078 1 2195609 255730
1079 1 2195389 255171
1080 1 2195149 254650
1082 1 2194568 253311
1084 1 2176402 256317
1085 1 2176864 256111
1086 1 2177266 255927
1087 1 2177640 255751
1088 1 2178017 255585
1089 1 2178413 255404
1090 1 2179033 255122
1091 1 2179548 254895
1092 1 2180034 254678
1093 1 2181031 254244
1094 1 2181568 254021
1095 1 2181878 253892
1096 1 2182493 253625
1097 1 2182818 253485
1099 1 2184025 252979
1100 1 2184579 252748
1101 1 2184869 252622
1102 1 2185182 252481
1103 1 2185815 252207
1104 1 2186236 252023
1105 1 2186576 251874
1106 1 2187152 251617
1107 1 2186963 251071
1108 1 2186782 250745
1109 1 2186648 250500
1110 1 2186456 250080
1111 1 2186251 249630
1112 1 2186081 249279
1113 1 2185674 249356
1115 1 2183654 248743
1116 1 2183540 248471
1117 1 2183422 248201
1118 1 2183304 247933
1119 1 2183394 247499
1120 1 2183731 247347
1121 1 2184956 246791
1122 1 2184824 246432
1123 1 2184638 246013
1124 1 2184454 245597
1125 1 2184272 245186
1126 1 2184077 244743
1127 1 2183917 244369
1128 1 2183623 243693
1129 1 2183428 243256
1130 1 2183350 242858
1131 1 2182899 241819
1132 1 2182699 241370
1133 1 2182483 240879
1134 1 2182283 240389
1136 1 2181658 238691
1139 1 2184254 252886
1142 1 2181840 239390
1143 1 2181978 239704
1144 1 2182106 239997
1145 1 2182233 240276
1146 1 2182442 240781
1147 1 2182656 241271
1148 1 2183180 242462
1149 1 2183303 242749
1150 1 2183406 242985
1151 1 2183558 243547
1152 1 2183864 244243
1153 1 2184042 244666
1154 1 2184225 245078
1155 1 2184401 245475
1156 1 2184581 245884
1157 1 2184766 246301
1159 1 2183150 247566
1160 1 2183251 247807
1161 1 2183379 248104
1162 1 2183508 248395
1163 1 2183604 248626
1164 1 2183770 248982
1168 1 2186599 250403
1169 1 2186920 250994
1171 1 2186798 251777
1172 1 2186209 252035
1173 1 2185797 252215
1174 1 2185384 252392
1175 1 2184986 252570
1177 1 2184121 252940
1178 1 2183686 253123
1179 1 2183289 253291
1180 1 2182858 253469
1181 1 2182456 253642
1183 1 2181097 254216
1184 1 2180633 254416
1185 1 2180281 254572
1186 1 2179770 254798
1187 1 2179238 255030
1188 1 2178968 255152
1189 1 2178427 255398
1190 1 2177992 255596
1191 1 2177344 255891
1192 1 2176967 256066
1193 1 2176511 256268
1194 1 2175342 259348
1195 1 2175635 259227
1196 1 2175850 259119
1197 1 2176015 259042
1198 1 2176254 258935
1199 1 2176508 258822
1200 1 2176746 258713
1201 1 2177639 258300
1202 1 2178204 258021
1203 1 2178755 257751
1204 1 2179198 257554
1205 1 2179618 257365
1206 1 2179997 257197
1207 1 2179487 255834
1209 1 2179060 254797
1210 1 2178925 254486
1211 1 2178450 253410
1214 1 2179574 251994
1215 1 2179956 251824
1216 1 2180302 251667
1217 1 2180534 251564
1218 1 2181148 251304
1219 1 2181573 251129
1220 1 2182015 250947
1221 1 2182704 250660
1224 1 2184130 250033
1225 1 2183820 249092
1226 1 2183175 247624
1227 1 2182917 247023
1228 1 2182782 246708
1229 1 2182680 246454
1230 1 2182412 245811
1231 1 2182272 245485
1232 1 2182149 245197
1233 1 2181966 244702
1234 1 2181773 244256
1236 1 2181245 243847
1237 1 2180910 243996
1238 1 2180572 243550
1239 1 2180651 243088
1240 1 2180726 242640
1241 1 2180804 242189
1242 1 2180880 241745
1243 1 2181006 240993
1244 1 2181122 240361
1245 1 2181212 239846
1246 1 2181569 239046
1247 1 2181763 238379
1253 1 2181457 239251
1254 1 2181287 239560
1255 1 2181188 239972
1256 1 2181131 240303
1257 1 2181072 240619
1258 1 2181022 240896
1259 1 2180935 241416
1261 1 2180754 242480
1262 1 2180677 242938
1264 1 2180894 243549
1265 1 2181170 243781
1267 1 2181789 244217
1268 1 2181914 244582
1269 1 2182118 245051
1270 1 2182251 245437
1271 1 2182433 245859
1272 1 2182609 246280
1273 1 2182757 246646
1274 1 2182897 246977
1275 1 2183133 247525
1276 1 2183924 250124
1278 1 2183037 250519
1279 1 2182778 250629
1282 1 2181231 251270
1283 1 2180922 251396
1284 1 2180632 251521
1285 1 2179988 251809
1286 1 2179625 251971
1287 1 2179137 252190
1288 1 2178788 252341
1289 1 2178527 252615
1290 1 2178343 252904
1291 1 2178439 253383
1292 1 2178876 254375
1294 1 2179127 254966
1296 1 2179450 255735
1297 1 2180052 257130
1299 1 2179805 257704
1300 1 2179450 257869
1301 1 2179045 258051
1302 1 2178268 258391
1303 1 2177817 258581
1304 1 2177443 258751
1305 1 2177059 258925
1307 1 2176457 259196
1308 1 2176237 259296
1309 1 2175841 259472
1310 1 2175433 259659
1351 1 2175136 262575
1353 1 2175219 259925
1354 1 2175214 260144
1355 1 2170952 248923
1357 1 2175857 256920
1358 1 2170963 248932
1360 1 2179439 261582
1361 1 2175197 260638
1365 1 2187015 259752
1366 1 2186746 259132
1369 1 2180051 261207
1371 1 2208777 274554
1372 1 2206925 274141
1380 1 2186871 258183
1383 1 2191212 262722
1384 1 2194145 267717
1386 1 2200598 272550
1387 1 2204130 273159
1388 1 2204685 273279
1391 1 2186464 256117
1394 1 2190874 261950
1395 1 2190692 261556
1396 1 2190470 258642
1397 1 2179196 255129
1398 1 2182994 250538
1399 1 2183305 250400
1400 1 2183321 250393
1401 1 2182141 250895
1406 1 2175069 257956
1407 1 2174730 257185
1409 1 2174166 255907
1410 1 2173904 255294
1411 1 2171494 249882
1412 1 2168899 240315
1415 1 2173199 253712
1417 1 2175126 262853
1420 1 2181306 269679
1421 1 2188793 284651
1422 1 2193271 288094
1423 1 2195512 290475
1424 1 2181430 270494
1425 1 2193761 292770
1429 1 2176921 265709
1431 1 2193150 287602
1435 1 2204971 265326
1441 1 2208774 263676
1442 1 2208248 264617
1443 1 2208750 265778
1458 1 2174427 267414
1459 1 2175834 257241
1460 1 2174755 257062
1461 1 2175916 256535
1462 1 2175871 256729
1465 1 2221798 262076
1466 1 2222899 262769
1468 1 2225688 264470
1469 1 2227315 264320
1470 1 2225727 264454
1471 1 2223698 263265
1472 1 2221791 262071
1473 1 2220452 261043
1474 1 2176552 259639
1475 1 2176350 259626
1477 1 2206334 250116
1482 1 2220414 261014
1485 1 2220748 259430
1486 1 2176446 240413
1487 1 2175402 254629
1488 1 2170339 247988
1489 1 2195110 254558
1490 1 2196769 260585
1492 1 2195670 266886
1493 1 2198353 263933
1494 1 2195478 255388
1496 1 2183239 253313
1498 1 2181999 239751
1499 1 2175995 256499
1501 1 2182876 241767
1502 1 2184899 246813
1503 1 2186184 249490
1504 1 2184421 252815
1505 1 2181752 253945
1515 1 2190369 262577
1516 1 2197465 260657
1524 1 2196847 260692
1532 1 2174916 260239
1535 1 2174937 259638
1537 1 2174813 262343
1538 1 2174391 259635
1539 1 2174661 259705
1545 1 2192808 253020
1547 1 2195455 261071
1548 1 2185017 249637
1550 1 2184907 261342
1551 1 2194273 252646
1555 1 2175184 261181
1556 1 2186439 250041
1557 1 2175820 257455
1558 1 2183496 253204
1559 1 2181680 239024
1560 1 2175283 259000
1565 1 2174479 263081
1566 1 2174480 263066
1567 1 2178613 258243
1573 1 2191044 277327
1575 1 2184606 260668
1578 1 2210869 253629
1579 1 2175193 260922
1582 1 2171211 249246
1583 1 2186482 258452
1584 1 2186691 258994
1589 1 2175166 261358
1592 1 2179015 252244
1593 1 2190510 258682
1595 1 2175111 263315
1596 1 2176481 265929
1609 1 2204391 265286
1655 1 2176416 265961
1659 1 2195736 263321
1660 1 2195100 261071
1661 1 2209640 255395
1662 1 2208994 253056
1663 1 2208701 252335
1664 1 2208505 251853
1665 1 2208152 251030
1666 1 2208854 250674
1667 1 2209101 251166
1668 1 2208378 251503
1669 1 2208563 252006
1670 1 2208990 253048
1671 1 2209643 255427
1672 1 2210738 257133
1683 1 2169793 247275
1684 1 2170604 248585
1694 1 2173310 267967
1701 1 2182159 237674
1706 1 2182031 238171
1707 1 2181879 238477
1708 1 2181633 238928
1709 1 2209296 257622
1710 1 2181778 237887
1713 1 2175458 258692
1731 1 2175911 240941
1733 1 2193744 253558
1734 1 2194165 254603
1735 1 2194531 255416
1746 1 2221742 271729
1748 1 2182046 244105
1749 1 2181881 243609
1750 1 2181588 243692
1751 1 2181475 243742
1752 1 2181812 243598
1753 1 2182079 244060
1754 1 2227467 266006
1755 1 2221022 270180
1756 1 2221735 271732
1757 1 2225282 269508
