parcelid xcoord_p ycoord_p sqft_p taz_p block_p hh_p stugrd_p stuhgh_p stuuni_p empedu_p empfoo_p empgov_p empind_p empmed_p empofc_p empret_p empsvc_p empoth_p emptot_p parkdy_p parkhr_p ppricdyp pprichrp
83 2183726.604 256498 57830 317 6 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
84 2183624.205 256992 68565 317 0 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
85 2184851.125 256454 74248 317 3 6 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0
86 2183623.258 255908 76618 318 2 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
87 2185835.589 256378 75983 317 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
88 2183438.53 254361 76418 314 8 0 0 0 0 0 0 0 0 4 0 0 0 0 4 0 0 0 0
89 2180717.108 254977 75613 299 6 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
90 2182212.84 253220 61849 315 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
91 2184392.229 252716 68626 315 2 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0
92 2182435.811 251516 91198 316 1 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
93 2184724.822 252573 72820 315 1 3 0 0 0 0 0 0 0 0 0 3 0 0 3 0 0 0 0
94 2183080.267 252463 487463 315 1 29 0 0 0 0 0 0 0 0 6 0 0 2 8 0 0 0 0
95 2168425.904 247400 544108 303 7 5 0 0 0 0 0 0 0 0 3 0 0 0 3 0 0 0 0
96 2186071.63 248896 119016 331 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
97 2169436.891 245933 109072 189 5 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
98 2184614.422 245717 82881 418 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
99 2253104.339 257310 1924077 119 9 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
100 2261010.235 274584 231270 851 7 0 0 0 0 0 0 0 0 0 0 0 4 0 4 0 0 0 0
101 2259223.165 250356 702692 119 8 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
102 2242517.104 240756 24671315 69 6 35 0 0 0 0 0 0 2 0 5 23 2 0 32 0 0 0 0
103 2250017.49 240730 1446980 118 3 23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
104 2267434.05 241487 9289793 111 3 19 0 0 0 0 0 0 0 0 6 0 0 0 6 0 0 0 0
105 2265093.71 245963 19379150 113 8 37 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
106 2186067.031 259005 219546 286 7 41 0 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0
