ID LINKS XCOORD_P YCOORD_P
20624 1 2223644 194618
20625 3 2218619 195601
20116 3 2195561 193098
20388 2 2196121 194795
19562 3 2207405 194346
20664 3 2207501 195123
19866 3 2212992 193934
19535 3 2213317 195618
20682 1 2209379 183125
20681 3 2209874 183133
20685 3 2214862 193152
20688 1 2209149 184725
20687 3 2210043 185584
20689 3 2210175 231753
20690 3 2208818 233904
19248 3 2208171 232028
20004 3 2209309 232212
19253 3 2208162 231722
20003 3 2209482 231911
16870 4 2209894 230637
20692 1 2208134 230735
15560 3 2191640 193840
20764 1 2192640 194521
20771 2 2208844 186521
20781 2 2242892 193583
19027 2 2243964 195730
21188 3 2179134 194297
21189 3 2179522 194584
21292 1 2181547 194235
21291 2 2181020 194515
21353 3 2179972 193342
21289 3 2179818 194710
21357 3 2179124 194916
23650 3 2209501 254363
23651 2 2208155 254946
23754 3 2209241 253630
23755 4 2208646 253887
23831 3 2209058 253213
23798 3 2208461 253394
23988 3 2208694 252318
23849 3 2208997 253063
24104 4 2209337 251705
24068 3 2208956 251873
24211 4 2209108 251182
24178 4 2208729 251350
24310 4 2208885 250660
24355 3 2209633 250346
24469 3 2209576 249217
24522 4 2209319 248829
24474 3 2208175 249162
24572 3 2208917 248476
24602 3 2209468 248208
24651 3 2209309 247843
24619 3 2208669 248096
25870 2 2208828 244064
32140 4 2210608 244347
26878 3 2209573 254714
26879 1 2208861 255013
27018 2 2209079 247779
27017 2 2209145 247812
28786 3 2209393 220098
28787 4 2208747 220279
28864 2 2209364 220036
28861 4 2208745 220210
29082 4 2208747 220250
29870 3 2209294 218318
29871 1 2208981 218501
29976 3 2210694 213892
29972 3 2208876 214019
30387 3 2210566 210869
30008 3 2209153 210941
30403 3 2208818 216039
29921 3 2209777 216123
30374 3 2208785 208321
30783 4 2210120 204601
30141 3 2208209 205375
30784 3 2208263 206926
30789 3 2209023 220940
30790 1 2209582 221931
31665 3 2208670 212128
30394 4 2209830 212188
30740 3 2210542 218157
16339 2 2207846 249509
19467 3 2207317 222917
30236 3 2211084 204456
29977 3 2210582 213352
16667 2 2209334 257500
27539 3 2209807 250984
20111 3 2209830 231477
17835 3 2160268 193506
17861 3 2167116 191101
17847 3 2183754 193468
16903 1 2258665 195129
16608 1 2258663 195249
31811 2 2208749 265775
17864 3 2169795 191080
17865 3 2171462 191743
18115 3 2170628 178563
17961 3 2167600 179398
18178 3 2172428 180916
18179 3 2169981 181092
18244 3 2173270 185090
18245 3 2169057 186230
18288 3 2167407 176881
18289 3 2170535 176917
17870 3 2171188 190150
18616 3 2169873 190177
18625 1 2170516 182720
18835 2 2169895 169942
18176 2 2170478 170747
18005 2 2167768 170062
18006 1 2168854 171133
18160 3 2167746 170284
18841 3 2167277 171249
18371 3 2141266 181863
18372 1 2139348 181899
18710 1 2134335 183589
18154 3 2141121 185044
18892 2 2141239 182438
17078 2 2136750 193219
17214 1 2133147 187841
17202 4 2133134 188456
17259 3 2133633 185103
17206 3 2131730 188434
17332 1 2134384 187648
17331 3 2133968 188428
17413 2 2134515 185162
17076 2 2134124 184235
17075 1 2134176 184079
18318 1 2134617 185166
17203 1 2134319 191670
17205 2 2131937 188424
17211 2 2132276 188469
17349 3 2131802 188885
17204 2 2132669 188450
17329 3 2134814 189557
17330 1 2135457 190952
17328 1 2134932 188306
18152 2 2141807 180702
18153 1 2143292 180805
18155 3 2141199 187123
18807 3 2145274 192622
18809 1 2145993 191421
18120 3 2141164 184447
18121 1 2143906 184576
18810 3 2141117 185248
18811 1 2141667 185142
17928 3 2141211 183628
17927 1 2141704 183467
17432 3 2141158 185925
17898 1 2141948 186304
17900 1 2142809 185807
17431 3 2141156 185827
18338 1 2142612 187138
18840 1 2166519 170148
18836 1 2168892 169564
18837 2 2169850 169920
17896 3 2158030 187368
17897 1 2160499 189747
17908 3 2160206 185930
17903 3 2160856 186597
17944 3 2167575 182175
17945 3 2165782 185021
18325 3 2162264 180065
17937 3 2163474 182366
18331 1 2160475 192994
18668 3 2169112 182149
18669 1 2169201 183216
17935 3 2161014 183114
18380 3 2156661 178543
18254 3 2159127 183339
18330 3 2163317 191531
18910 2 2154640 182018
18911 2 2154856 182976
18798 1 2155377 172798
18799 3 2156133 176196
18909 1 2151943 175991
18800 1 2156589 176217
18379 3 2157427 178406
18381 1 2156971 178396
18378 1 2157872 178300
18194 2 2155834 187667
18195 3 2156345 188493
18332 2 2157127 187319
18339 1 2154968 192252
17445 3 2157977 192300
18373 3 2154309 186420
18193 3 2155662 186982
18648 3 2154937 189023
18649 3 2156563 189157
18192 2 2155062 184084
18801 2 2155599 185984
18196 2 2157886 191969
18695 1 2152148 185992
18191 2 2154864 183137
18374 1 2154171 187337
18641 3 2154068 188836
18642 3 2154482 188895
18643 3 2154527 188875
33078 3 2187587 197371
33079 1 2187363 197596
18650 1 2154681 189760
33072 3 2153586 189532
33073 3 2153214 188978
18646 2 2153206 188600
18644 3 2153766 188663
18651 3 2159691 184784
18908 2 2155657 186836
18253 1 2159632 183335
18652 1 2160001 184648
17446 3 2158080 192651
17841 1 2157713 192739
18907 2 2157553 191027
17877 3 2157043 190121
17878 1 2156074 190148
18687 1 2155426 193831
17834 3 2159368 193853
17832 2 2158777 193933
18912 2 2158413 193566
17838 1 2159227 192956
17958 3 2163452 179327
18113 3 2164912 175984
18114 1 2162390 176458
18290 3 2164935 177025
18843 2 2166498 171484
18161 3 2165092 171478
18653 1 2164143 171592
18654 3 2164920 175310
33132 2 2176794 262731
13613 4 2176382 262893
33133 2 2176786 262741
2955 2 2176805 262783
18162 1 2165056 172017
18838 2 2164531 171540
18839 1 2164242 171578
18655 1 2163026 175229
