PARCELID	DELTSPUW	SHADPEMP	DELTSPUS	SHADPK12	DELTSPUU	SHADPUNI
46	0.000000	0.447316	-5.991465	0.000000	0.000000	-75.997729
47	-0.151472	-3.027735	-7.824046	0.000000	-4.605170	-290.094687
48	1.937539	0.299103	-6.551080	0.000000	-4.605170	-280.532449
49	-0.077364	-1.451821	-6.551080	0.000000	-4.605170	-280.532449
50	0.369402	-5.540683	-8.779557	0.000000	0.000000	-71.728681
51	-1.284053	-54.157421	-7.170120	0.000000	-4.605170	-266.484210
52	0.369402	-5.540683	-8.779557	0.000000	0.000000	-71.728681
53	0.369402	-5.540683	-8.779557	0.000000	0.000000	-71.728681
54	-1.284053	-42.561364	-7.170120	0.000000	-4.605170	-266.484210
55	0.214489	-1.506466	-7.649693	0.000000	0.000000	-69.802384
56	0.214489	-1.506466	-7.649693	0.000000	0.000000	-69.802384
57	0.214489	-1.506466	-7.649693	0.000000	0.000000	-69.802384
58	-1.223903	-33.623219	-6.214608	0.000000	0.000000	-259.828691
59	0.069682	1.351960	-5.703782	0.000000	0.000000	-59.005410
60	-1.223903	-38.175743	-6.214608	0.000000	0.000000	-259.828691
61	0.015403	0.586430	-6.907755	0.000000	-5.703782	-66.754663
62	0.304627	-18.988233	-9.159047	0.000000	0.000000	-70.333415
63	0.133809	-0.374603	-6.684612	0.000000	-4.605170	-71.599178
64	0.168495	-0.209622	-7.495542	0.000000	0.000000	-68.884140
65	-1.559901	-82.754839	-6.684612	0.000000	0.000000	-62.514238
66	0.386009	-2.255006	-8.160518	0.000000	0.000000	-65.411728
67	0.272335	0.807057	-7.090077	0.000000	-4.605170	-261.472640
68	-5.703782	-269.466781	-5.298317	0.000000	0.000000	-62.177765
69	1.103249	-0.058290	-5.703782	0.000000	-4.605170	-265.372828
70	-0.554658	-1.215314	-6.684612	0.000000	0.000000	-254.390933
71	0.389803	-1.270328	-8.131531	0.000000	-5.703782	-263.906253
72	-0.055119	-50.548928	-8.839277	0.000000	0.000000	-69.164682
73	-6.684612	-311.720455	-5.991465	0.000000	-4.605170	-259.862004
74	0.103095	2.145894	-6.684612	0.000000	0.000000	-70.733698
75	1.103249	-26.258549	-8.039157	0.000000	-5.703782	-338.471066
76	-0.662535	-1.966141	-6.802395	0.000000	-5.703782	-321.343424
77	-0.089719	0.936797	-5.991465	0.000000	0.000000	-53.154199
78	0.276570	-1.031948	-6.907755	0.000000	0.000000	-65.432782
79	0.537568	2.041521	-7.600902	0.000000	-4.605170	-295.465936
80	-0.318618	-5.972434	-7.377759	0.000000	0.000000	-259.209277
81	0.029334	-0.555822	-8.294050	0.000000	0.000000	-77.391695
82	0.594065	0.815726	-5.703782	0.000000	-4.605170	-57.259841
83	0.263407	-2.252489	-8.294050	0.000000	0.000000	-77.391695
84	0.263407	-2.252489	-8.294050	0.000000	0.000000	-77.391695
85	0.263407	-2.252489	-8.294050	0.000000	0.000000	-77.391695
86	-1.148904	-56.937012	-9.314700	0.000000	0.000000	-262.617872
87	0.263407	-2.252489	-8.294050	0.000000	0.000000	-77.391695
88	-0.150375	-19.252669	-7.824046	0.000000	0.000000	-261.913020
89	0.000000	0.000000	-7.377759	0.000000	0.000000	-157.633573
90	-0.391401	-32.134452	-8.455318	0.000000	-4.605170	-267.693040
91	-0.391401	-32.134452	-8.455318	0.000000	-4.605170	-267.693040
92	-5.298317	-241.333665	-7.244228	0.000000	-4.605170	-74.196906
