run,model,end,group,alternative,target,calibrate,within_threshold,survey_pct,model_pct,diff,current_beta,adjustment,new_beta
8,IndividualPersonDayPattern,702,,1,socrec_PT,TRUE,FALSE,29.35,31.85,2.5,1.462202855,-0.0696,1.3926
8,IndividualPersonDayPattern,,,0,work_PT,FALSE,FALSE,60.15,33.08,-27.07,,0,
8,IndividualPersonDayPattern,102,,1,work_PT,TRUE,FALSE,39.85,66.92,27.07,-0.099380168,-0.4405,-0.5399
8,IndividualPersonDayPattern,,,0,maint_PT,FALSE,FALSE,54.01,7.22,-46.79,,0,
8,IndividualPersonDayPattern,,,1,maint_PT,FALSE,FALSE,45.99,92.78,46.79,,0,
8,IndividualPersonDayPattern,,,0,disc_PT,FALSE,FALSE,56.3,47.41,-8.89,,0,
8,IndividualPersonDayPattern,,,1,disc_PT,FALSE,FALSE,43.7,52.59,8.89,,0,
8,IndividualPersonDayPattern,,,0,escort_Retired,FALSE,FALSE,95.14,92.29,-2.85,,0,
8,IndividualPersonDayPattern,303,,1,escort_Retired,TRUE,FALSE,4.86,7.71,2.85,-0.691342545,-0.3918,-1.0831
8,IndividualPersonDayPattern,,,0,meal_Retired,FALSE,FALSE,77.57,83.05,5.48,,0,
8,IndividualPersonDayPattern,603,,1,meal_Retired,TRUE,FALSE,22.43,16.95,-5.48,0.12892115,0.2381,0.367
8,IndividualPersonDayPattern,,,0,pb_Retired,FALSE,FALSE,74.61,50.72,-23.89,,0,
8,IndividualPersonDayPattern,403,,1,pb_Retired,TRUE,FALSE,25.39,49.28,23.89,-0.047594705,-0.5636,-0.6112
8,IndividualPersonDayPattern,,,0,shop_Retired,FALSE,TRUE,59.48,59.16,-0.32,,0,
8,IndividualPersonDayPattern,503,,1,shop_Retired,TRUE,TRUE,40.52,40.84,0.32,-0.017415201,0,-0.0174
8,IndividualPersonDayPattern,,,0,socrec_Retired,FALSE,FALSE,67.77,75.5,7.73,,0,
8,IndividualPersonDayPattern,703,,1,socrec_Retired,TRUE,FALSE,32.23,24.5,-7.73,0.535469531,0.2331,0.7686
8,IndividualPersonDayPattern,,,0,maint_Retired,FALSE,FALSE,44.99,39.55,-5.44,,0,
8,IndividualPersonDayPattern,,,1,maint_Retired,FALSE,FALSE,55.01,60.45,5.44,,0,
8,IndividualPersonDayPattern,,,0,disc_Retired,FALSE,FALSE,53.93,64.13,10.2,,0,
8,IndividualPersonDayPattern,,,1,disc_Retired,FALSE,FALSE,46.07,35.87,-10.2,,0,
8,IndividualPersonDayPattern,,,0,escort_Stu16,FALSE,FALSE,99.4,81.75,-17.64,,0,
8,IndividualPersonDayPattern,306,,1,escort_Stu16,TRUE,FALSE,0.6,18.25,17.64,0.342505207,-2.8973,-2.5548
8,IndividualPersonDayPattern,,,0,meal_Stu16,FALSE,FALSE,84.02,88.08,4.06,,0,
8,IndividualPersonDayPattern,606,,1,meal_Stu16,TRUE,FALSE,15.98,11.92,-4.06,-0.404916068,0.2491,-0.1558
8,IndividualPersonDayPattern,,,0,pb_Stu16,FALSE,FALSE,99.7,76.15,-23.55,,0,
8,IndividualPersonDayPattern,406,,1,pb_Stu16,TRUE,FALSE,0.3,23.85,23.55,-1.785377204,-3.71,-5.4954
8,IndividualPersonDayPattern,,,0,school_Stu16,FALSE,FALSE,61.45,69.05,7.6,,0,
8,IndividualPersonDayPattern,206,,1,school_Stu16,TRUE,FALSE,38.55,30.95,-7.6,-0.105291538,0.1866,0.0813
8,IndividualPersonDayPattern,,,0,shop_Stu16,FALSE,FALSE,87.52,91.61,4.09,,0,
8,IndividualPersonDayPattern,506,,1,shop_Stu16,TRUE,FALSE,12.48,8.39,-4.09,-1.152358575,0.3378,-0.8146
8,IndividualPersonDayPattern,,,0,socrec_Stu16,FALSE,FALSE,82.05,91.2,9.15,,0,
8,IndividualPersonDayPattern,706,,1,socrec_Stu16,TRUE,FALSE,17.95,8.8,-9.15,-0.331171161,0.6058,0.2746
8,IndividualPersonDayPattern,,,0,work_Stu16,FALSE,FALSE,96.79,91.89,-4.9,,0,
8,IndividualPersonDayPattern,106,,1,work_Stu16,TRUE,FALSE,3.21,8.11,4.9,-1.273569575,-0.7881,-2.0617
8,IndividualPersonDayPattern,,,0,maint_Stu16,FALSE,FALSE,87.52,62.24,-25.28,,0,
8,IndividualPersonDayPattern,,,1,maint_Stu16,FALSE,FALSE,12.48,37.76,25.28,,0,
8,IndividualPersonDayPattern,,,0,disc_Stu16,FALSE,FALSE,66.07,81.13,15.06,,0,
8,IndividualPersonDayPattern,,,1,disc_Stu16,FALSE,FALSE,33.93,18.87,-15.06,,0,
9,PersonExactNumberOfTours,,,0,DayPatternCount_work,FALSE,FALSE,72.3,66.78,-5.53,,0,
9,PersonExactNumberOfTours,,,1,DayPatternCount_work,FALSE,FALSE,26.34,30.7,4.35,,0,
9,PersonExactNumberOfTours,152,,2,DayPatternCount_work,TRUE,TRUE,1.32,2.41,1.1,-3.016574035,0,-3.0166
9,PersonExactNumberOfTours,153,,3,DayPatternCount_work,TRUE,TRUE,0.04,0.11,0.08,-5.452585947,0,-5.4526
9,PersonExactNumberOfTours,,,0,DayPatternCount_school,FALSE,TRUE,85.81,85.64,-0.17,,0,
9,PersonExactNumberOfTours,,,1,DayPatternCount_school,FALSE,TRUE,13.55,13.7,0.15,,0,
9,PersonExactNumberOfTours,252,,2,DayPatternCount_school,TRUE,TRUE,0.61,0.61,0.01,-4.23142792,0,-4.2314
9,PersonExactNumberOfTours,253,,3,DayPatternCount_school,TRUE,TRUE,0.04,0.05,0.01,-6.901046367,0,-6.901
9,PersonExactNumberOfTours,,,0,DayPatternCount_escort,FALSE,FALSE,94,89.11,-4.9,,0,
9,PersonExactNumberOfTours,,,1,DayPatternCount_escort,FALSE,FALSE,4.07,7.26,3.19,,0,
9,PersonExactNumberOfTours,352,,2,DayPatternCount_escort,TRUE,TRUE,1.46,2.97,1.51,-2.28520869,0,-2.2852
9,PersonExactNumberOfTours,353,,3,DayPatternCount_escort,TRUE,TRUE,0.47,0.67,0.19,-3.012085655,0,-3.0121
9,PersonExactNumberOfTours,,,0,DayPatternCount_pb,FALSE,FALSE,90.96,83.27,-7.69,,0,
9,PersonExactNumberOfTours,,,1,DayPatternCount_pb,FALSE,FALSE,8.13,14.21,6.08,,0,
9,PersonExactNumberOfTours,452,,2,DayPatternCount_pb,TRUE,TRUE,0.77,2.25,1.48,-2.392116756,0,-2.3921
9,PersonExactNumberOfTours,453,,3,DayPatternCount_pb,TRUE,TRUE,0.14,0.27,0.13,-4.707528136,0,-4.7075
9,PersonExactNumberOfTours,,,0,DayPatternCount_shop,FALSE,FALSE,84.56,88.62,4.06,,0,
9,PersonExactNumberOfTours,,,1,DayPatternCount_shop,FALSE,FALSE,13.95,10.79,-3.15,,0,
9,PersonExactNumberOfTours,552,,2,DayPatternCount_shop,TRUE,TRUE,1.36,0.56,-0.8,-6.851378587,0,-6.8514
9,PersonExactNumberOfTours,553,,3,DayPatternCount_shop,TRUE,TRUE,0.14,0.03,-0.11,-12.54953098,0,-12.5495
9,PersonExactNumberOfTours,,,0,DayPatternCount_meal,FALSE,TRUE,94.76,93.4,-1.36,,0,
9,PersonExactNumberOfTours,,,1,DayPatternCount_meal,FALSE,TRUE,4.86,6.38,1.53,,0,
9,PersonExactNumberOfTours,652,,2,DayPatternCount_meal,TRUE,TRUE,0.38,0.21,-0.17,-2.299216713,0,-2.2992
9,PersonExactNumberOfTours,,,0,DayPatternCount_socrec,FALSE,FALSE,80.6,88.28,7.68,,0,
9,PersonExactNumberOfTours,,,1,DayPatternCount_socrec,FALSE,FALSE,18.05,10.97,-7.08,,0,
9,PersonExactNumberOfTours,752,,2,DayPatternCount_socrec,TRUE,TRUE,1.22,0.71,-0.51,-2.871262989,0,-2.8713
9,PersonExactNumberOfTours,753,,3,DayPatternCount_socrec,TRUE,TRUE,0.13,0.04,-0.09,-5.631272929,0,-5.6313
9,PersonExactNumberOfTours,,,0,DayPatternCount_maint,FALSE,FALSE,72.8,65.87,-6.93,,0,
9,PersonExactNumberOfTours,,,1,DayPatternCount_maint,FALSE,FALSE,20.58,24.46,3.88,,0,
9,PersonExactNumberOfTours,,,2,DayPatternCount_maint,FALSE,TRUE,5.28,7.2,1.92,,0,
9,PersonExactNumberOfTours,,,3,DayPatternCount_maint,FALSE,TRUE,1.33,2.46,1.13,,0,
9,PersonExactNumberOfTours,,,0,DayPatternCount_disc,FALSE,FALSE,76.16,82.31,6.15,,0,
9,PersonExactNumberOfTours,,,1,DayPatternCount_disc,FALSE,FALSE,21.48,16.16,-5.32,,0,
9,PersonExactNumberOfTours,,,2,DayPatternCount_disc,FALSE,TRUE,2.06,1.42,-0.64,,0,
9,PersonExactNumberOfTours,,,3,DayPatternCount_disc,FALSE,TRUE,0.3,0.11,-0.19,,0,
10,WorkTourMode,50,,Drive Alone,WorkTourMode,TRUE,TRUE,73.39,72.21,-1.18,3.089739428,0,3.0897
10,WorkTourMode,40,,Shared Ride 2,WorkTourMode,TRUE,TRUE,15.25,17.2,1.94,-0.670373113,0,-0.6704
10,WorkTourMode,30,,Shared Ride 3+,WorkTourMode,TRUE,TRUE,8.22,9.85,1.64,-1.007601567,0,-1.0076
10,WorkTourMode,20,,Walk-Transit,WorkTourMode,TRUE,TRUE,1.91,0.26,-1.65,-3.446832801,0,-3.4468
10,WorkTourMode,10,,Drive-Transit,WorkTourMode,TRUE,TRUE,0.03,0.3,0.27,-2.318982633,0,-2.319
10,WorkTourMode,60,,Bike,WorkTourMode,TRUE,TRUE,1.2,0.18,-1.02,-10.61054029,0,-10.6105
11,SchoolTourMode,10,,School Bus,SchoolTourMode,TRUE,FALSE,20.02,30.36,10.34,0.583375988,-0.3539,0.2295
11,SchoolTourMode,20,,Walk-Transit,SchoolTourMode,TRUE,FALSE,3.79,1.2,-2.59,-3.582868336,0.975,-2.6079
11,SchoolTourMode,40,,Shared Ride 2,SchoolTourMode,TRUE,FALSE,18.21,23.52,5.31,-0.050823222,-0.2174,-0.2682
