,RespondentID,Route ,Route - In/Out Bound,Left From,Left Other,Left St No,Left St Name,Left Nearest Intersection,Left Name,Final Destination,Destination-Other,Dest St No,Dest St Name,Dest Nearest Intersection ,Dest Name,Zipcode,confidence_left,lat_left,lng_left,confidence_dest,lat_dest,lng_dest,Route,Geocode_result_left,Geocode_result_dest,Left_Add_EDIT,lat_left_EDIT,lng_left_EDIT,Dest_Add_EDIT,lat_dest_EDIT,lng_dest_EDIT
50,4241631005,16- Northgate,Out Bound,Work,,,Gunbarrel,Hixson Pike,,Home,,2627,Hixson Pike Haywood,,,37415,9,35.1156396,-85.2520739,9,35.0903363,-85.2874027,16- Northgate,pass,pass,,,,,,
51,4241639366,16- Northgate,Out Bound,Home,,3730,Dorris,Rossville,,Home,,3730,Dorris,Rossvile,,37410,9,35.0053997,-85.3091585,9,35.0903363,-85.2874027,16- Northgate,pass,pass,,,,,,
52,4241646557,16- Northgate,In Bound,Other,Mall- Northgate,271,Northgate Mall Dr,,,Home,,,East Lake,,,37343,9,35.1311669,-85.2423282,7,35.0053103,-85.2851801,16- Northgate,pass,no_pass,,,,,,
53,4241656191,16- Northgate,Out Bound,Home,,207,Spears,,,Recreation,,900,Winding Hills Ln,,,37343,9,35.0651588,-85.3109156,9,35.1462912,-85.2546819,16- Northgate,pass,pass,,,,,,
54,4241663245,16- Northgate,Out Bound,Home,,1901,Duncan Ave,Orchard Knob & McCallie,nra?,Personal errands,,797,Winding Hills,Winding Hills & Winding,,37403,9,35.035265,-85.2748745,9,35.1470179,-85.2568248,16- Northgate,pass,pass,,,,,,
55,4241669706,16- Northgate,Out Bound,Home,,,23rd St,Dodds & 23rd St,,Medical / Hospital,,,Hixson Pike,Ashland Terrace & Hixson Pike,,37404,9,35.0157686,-85.2735857,9,35.113818,-85.2600512,16- Northgate,pass,pass,,,,,,
56,4241676050,16- Northgate,Out Bound,Personal errands,,,Market St,,courthouse,Work,,6000,Hixson Pike,,Harvest Grocery,37415,9,35.0492911,-85.3089764,9,35.147377,-85.2075882,16- Northgate,pass,pass,,,,,,
57,4241683378,16- Northgate,Out Bound,University / College,,,5th & Market,,"Hamilton County, Civil/Criminal Court, and Regions Bank",Other,Mall- Northgate,,,,,37343,9,35.0492873,-85.3089885,,,,16- Northgate,pass,insufficient_data,,,,271 Northgate Mall Dr,35.13037345,-85.23925405
58,4241694855,16- Northgate,Out Bound,Personal errands,,,6th Market,,,Work,,,Middle Valley Rd,,,37405,9,35.0496808,-85.3095494,5,35.1808667,-85.197443,16- Northgate,pass,no_pass,,,,,,
59,4241702217,8- Eastdale,Out Bound,,,404,Tunnel Blvd,Tunnel & Wilcox,Shepherd Hills Apts,Work,,800,Chestnut St,Chestnut & MLK blvd,Innside Restaurant,37411,9,35.0336371,-85.2426252,9,35.046778,-85.311469,8- Eastdale,pass,pass,,,,,,
60,4241709211,1- Alton Park,Out Bound,Home,,3019,Northway Lane,Brainerd & Germantown,,Work,,5611,Brainerd Rd,Brainerd & Germantown,,37406,9,35.0651779,-85.2325201,9,35.0110953,-85.2172281,1- Alton Park,pass,pass,,,,,,
61,4241716006,1- Alton Park,Out Bound,Work,,3801,Tennessee,,Food City,Home,,,E 48th St,,Emma Wheeler Homes,37410,9,35.0096995,-85.3259481,9,34.9911728,-85.3035734,1- Alton Park,pass,pass,,,,,,
62,4241722233,1- Alton Park,Out Bound,Work,,,E 50th St,Rossville & Dodds Ave,CSL Plasma,Home,,,W 37th St,W 37th & Dirola,,37410,9,34.9861966,-85.2862308,7,35.0109232,-85.3209893,1- Alton Park,pass,no_pass,,,,,,
63,4241727575,1- Alton Park,In Bound,University / College,,,,4th & Market,,Home,,2016,Cooley St,Stuart & Dodson,,37406,9,35.0522576,-85.3096174,9,35.0497725,-85.2643849,1- Alton Park,pass,pass,,,,,,
64,4241733095,1- Alton Park,In Bound,Home,,700,E 51st St,Woodlawn & 51st,,Work,,,,,Walmart,37410,9,34.9898006,-85.3089162,9,35.0301589,-85.1527709,1- Alton Park,pass,pass,,,,,,
65,4241761317,1- Alton Park,In Bound,Home,,814,Hooken Rd,Hooken Rd,,Home,,814,Hooken Rd,,,37410,8,35.1435411,-85.272431,9,34.9927735,-85.3042209,1- Alton Park,pass,pass,,,,,,
66,4241766683,9- East Lake,In Bound,Home,,3100,12th Ave,Dodds Ave & 37th St,,Home,,5300,Hwy 153,5400 & Hwy 153,,37407,9,35.0051855,-85.2777959,9,35.1333533,-85.2457458,9- East Lake,pass,pass,,,,,,
67,4241773118,16- Northgate,Out Bound,Home,,1832,Pearl St,Chamberlain & Olive,,Home,,#16 bus,Hixson Pike,,Northgate,37406,9,35.0551873,-85.2513663,,,,16- Northgate,pass,insufficient_data,,,,271 Northgate Mall Dr,35.13037345,-85.23925405
68,4241780846,16- Northgate,Out Bound,Work,,,Northgate Mall,,,Home,,,Northgate Mall,,,37414,9,35.1300842,-85.2400216,9,35.1300842,-85.2400216,16- Northgate,pass,pass,,,,,,
