"GEO_ID","NAME","B08203_001E","B08203_001M","B08203_002E","B08203_002M","B08203_003E","B08203_003M","B08203_004E","B08203_004M","B08203_005E","B08203_005M","B08203_006E","B08203_006M","B08203_007E","B08203_007M","B08203_008E","B08203_008M","B08203_009E","B08203_009M","B08203_010E","B08203_010M","B08203_011E","B08203_011M","B08203_012E","B08203_012M","B08203_013E","B08203_013M","B08203_014E","B08203_014M","B08203_015E","B08203_015M","B08203_016E","B08203_016M","B08203_017E","B08203_017M","B08203_018E","B08203_018M","B08203_019E","B08203_019M","B08203_020E","B08203_020M","B08203_021E","B08203_021M","B08203_022E","B08203_022M","B08203_023E","B08203_023M","B08203_024E","B08203_024M","B08203_025E","B08203_025M","B08203_026E","B08203_026M","B08203_027E","B08203_027M","B08203_028E","B08203_028M","B08203_029E","B08203_029M","B08203_030E","B08203_030M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No vehicle available","Margin of Error!!Total:!!No vehicle available","Estimate!!Total:!!1 vehicle available","Margin of Error!!Total:!!1 vehicle available","Estimate!!Total:!!2 vehicles available","Margin of Error!!Total:!!2 vehicles available","Estimate!!Total:!!3 vehicles available","Margin of Error!!Total:!!3 vehicles available","Estimate!!Total:!!4 or more vehicles available","Margin of Error!!Total:!!4 or more vehicles available","Estimate!!Total:!!No workers:","Margin of Error!!Total:!!No workers:","Estimate!!Total:!!No workers:!!No vehicle available","Margin of Error!!Total:!!No workers:!!No vehicle available","Estimate!!Total:!!No workers:!!1 vehicle available","Margin of Error!!Total:!!No workers:!!1 vehicle available","Estimate!!Total:!!No workers:!!2 vehicles available","Margin of Error!!Total:!!No workers:!!2 vehicles available","Estimate!!Total:!!No workers:!!3 vehicles available","Margin of Error!!Total:!!No workers:!!3 vehicles available","Estimate!!Total:!!No workers:!!4 or more vehicles available","Margin of Error!!Total:!!No workers:!!4 or more vehicles available","Estimate!!Total:!!1 worker:","Margin of Error!!Total:!!1 worker:","Estimate!!Total:!!1 worker:!!No vehicle available","Margin of Error!!Total:!!1 worker:!!No vehicle available","Estimate!!Total:!!1 worker:!!1 vehicle available","Margin of Error!!Total:!!1 worker:!!1 vehicle available","Estimate!!Total:!!1 worker:!!2 vehicles available","Margin of Error!!Total:!!1 worker:!!2 vehicles available","Estimate!!Total:!!1 worker:!!3 vehicles available","Margin of Error!!Total:!!1 worker:!!3 vehicles available","Estimate!!Total:!!1 worker:!!4 or more vehicles available","Margin of Error!!Total:!!1 worker:!!4 or more vehicles available","Estimate!!Total:!!2 workers:","Margin of Error!!Total:!!2 workers:","Estimate!!Total:!!2 workers:!!No vehicle available","Margin of Error!!Total:!!2 workers:!!No vehicle available","Estimate!!Total:!!2 workers:!!1 vehicle available","Margin of Error!!Total:!!2 workers:!!1 vehicle available","Estimate!!Total:!!2 workers:!!2 vehicles available","Margin of Error!!Total:!!2 workers:!!2 vehicles available","Estimate!!Total:!!2 workers:!!3 vehicles available","Margin of Error!!Total:!!2 workers:!!3 vehicles available","Estimate!!Total:!!2 workers:!!4 or more vehicles available","Margin of Error!!Total:!!2 workers:!!4 or more vehicles available","Estimate!!Total:!!3 or more workers:","Margin of Error!!Total:!!3 or more workers:","Estimate!!Total:!!3 or more workers:!!No vehicle available","Margin of Error!!Total:!!3 or more workers:!!No vehicle available","Estimate!!Total:!!3 or more workers:!!1 vehicle available","Margin of Error!!Total:!!3 or more workers:!!1 vehicle available","Estimate!!Total:!!3 or more workers:!!2 vehicles available","Margin of Error!!Total:!!3 or more workers:!!2 vehicles available","Estimate!!Total:!!3 or more workers:!!3 vehicles available","Margin of Error!!Total:!!3 or more workers:!!3 vehicles available","Estimate!!Total:!!3 or more workers:!!4 or more vehicles available","Margin of Error!!Total:!!3 or more workers:!!4 or more vehicles available"
"1400000US47065011321","Census Tract 113.21, Hamilton County, Tennessee","3096","199","82","90","1069","266","1387","226","490","171","68","54","612","181","66","87","361","167","176","80","9","16","0","17","1354","242","16","26","689","210","538","210","111","85","0","17","999","200","0","17","19","25","649","175","281","127","50","51","131","89","0","17","0","17","24","38","89","68","18","28"
"1400000US47065011323","Census Tract 113.23, Hamilton County, Tennessee","2559","157","220","106","742","172","1097","199","377","119","123","66","838","171","171","97","369","143","208","94","58","42","32","37","767","217","49","46","317","140","332","145","51","58","18","26","850","151","0","17","56","54","557","163","220","83","17","27","104","64","0","17","0","17","0","17","48","52","56","52"
"1400000US47065011324","Census Tract 113.24, Hamilton County, Tennessee","1484","54","0","12","256","83","765","110","279","71","184","62","263","81","0","12","117","62","102","48","17","17","27","21","525","121","0","12","89","43","276","105","125","54","35","27","583","98","0","12","37","46","387","73","117","53","42","30","113","47","0","12","13","20","0","12","20","22","80","40"
"1400000US47065011325","Census Tract 113.25, Hamilton County, Tennessee","2003","196","12","20","404","125","1039","158","441","132","107","65","481","99","12","20","174","71","188","76","89","56","18","30","622","160","0","17","214","104","361","136","28","33","19","30","754","159","0","17","16","28","454","127","259","115","25","31","146","67","0","17","0","17","36","42","65","53","45","47"
"1400000US47065011326","Census Tract 113.26, Hamilton County, Tennessee","2386","131","29","30","1059","189","987","166","257","85","54","39","296","107","15","23","184","92","97","58","0","17","0","17","1148","224","14","24","751","181","352","156","31","36","0","17","693","192","0","17","124","90","490","163","62","53","17","31","249","113","0","17","0","17","48","74","164","77","37","36"
"1400000US47065011402","Census Tract 114.02, Hamilton County, Tennessee","2670","137","30","38","1165","186","843","202","487","183","145","94","836","202","30","38","529","184","147","86","112","95","18","29","1070","228","0","17","625","193","313","140","111","107","21","33","672","203","0","17","11","18","383","175","264","160","14","24","92","76","0","17","0","17","0","17","0","17","92","76"
"1400000US47065011411","Census Tract 114.11, Hamilton County, Tennessee","1834","132","85","62","778","166","538","132","308","104","125","59","525","155","74","59","284","116","121","52","7","12","39","35","793","157","11","17","452","128","206","83","87","67","37","40","432","132","0","12","42","36","211","107","155","85","24","32","84","53","0","12","0","12","0","12","59","46","25","24"
"1400000US47065011413","Census Tract 114.13, Hamilton County, Tennessee","3207","167","20","32","859","187","1382","239","767","188","179","97","910","143","0","17","471","142","310","104","129","73","0","17","1053","211","0","17","367","151","426","175","205","97","55","40","858","191","20","32","0","17","509","164","289","120","40","43","386","123","0","17","21","33","137","96","144","87","84","73"
"1400000US47065011442","Census Tract 114.42, Hamilton County, Tennessee","1150","88","57","57","561","102","310","82","111","62","111","52","238","70","27","26","134","60","50","36","16","20","11","12","595","91","30","47","390","89","92","47","42","34","41","43","222","74","0","12","6","11","168","70","48","42","0","12","95","43","0","12","31","41","0","12","5","11","59","35"
"1400000US47065011443","Census Tract 114.43, Hamilton County, Tennessee","2923","218","213","134","1199","231","1193","238","220","134","98","74","1067","217","154","112","523","157","307","143","83","94","0","17","1190","260","18","30","623","200","434","178","104","80","11","19","648","171","41","62","53","81","452","172","33","32","69","67","18","34","0","17","0","17","0","17","0","17","18","34"
"1400000US47065011444","Census Tract 114.44, Hamilton County, Tennessee","1543","137","141","76","667","166","471","138","174","88","90","66","622","139","93","58","301","117","169","81","49","48","10","15","640","151","48","48","338","125","189","110","49","54","16","19","180","71","0","12","9","15","106","57","56","42","9","14","101","69","0","12","19","21","7","11","20","23","55","63"
"1400000US47065011445","Census Tract 114.45, Hamilton County, Tennessee","1761","118","76","57","806","163","656","145","174","91","49","44","552","107","66","55","249","86","166","72","36","45","35","40","674","150","10","16","476","150","170","79","18","28","0","12","468","125","0","12","81","59","320","109","60","45","7","12","67","49","0","12","0","12","0","12","60","49","7","11"
